,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
27,,,,,Top 50 quality games:,Top 50:,6,86.7,3.4,1.8,96.1,24.9,43.8,49.1,4.5,7.7,21.2,13.9,0.0,2.8,40.6,19-26,.731,16-36,.444,8-28,.286,,,,,,,,
28,2008,Sr,6-8,Keith Maren,Air Force,MWC,28,71.1,0.7,1.6,93.9,17.2,56.8,56.8,2.0,15.4,14.2,23.1,3.1,2.8,32.5,27-50,.540,44-77,.571,29-77,.377,,,,,,,,
29,,,,,Conf. games:,Conf. games:,16,73.2,0.7,1.6,88.4,19.4,53.6,54.0,1.2,16.1,18.9,24.1,2.7,3.4,33.3,17-32,.531,23-40,.575,19-56,.339,,,,,,,,
30,,,,,Top 100 quality games:,Top 100:,12,71.5,0.9,2.0,87.3,19.0,55.7,56.7,1.7,17.0,16.2,27.1,2.8,3.2,25.7,11-18,.611,15-27,.556,16-43,.372,,,,,,,,
31,,,,,Top 50 quality games:,Top 50:,6,62.5,0.7,1.6,85.9,18.1,62.5,61.7,0.9,18.7,10.2,31.3,3.8,2.6,18.8,3-6,.500,8-13,.615,8-19,.421,,,,,,,,
32,2008,Sr,6-9,Eric Kenzik,Air Force,MWC,28,27.4,0.6,-1.0,98.2,20.5,51.4,55.3,3.8,17.8,19.0,20.3,1.5,1.5,37.1,19-26,.731,24-49,.490,8-21,.381,,,,,,,,
33,,,,,Conf. games:,Conf. games:,16,25.1,0.9,-0.3,102.4,22.5,57.5,61.1,5.5,15.1,17.7,20.8,1.0,1.3,35.0,11-14,.786,14-27,.519,6-13,.462,,,,,,,,
34,,,,,Top 100 quality games:,Top 100:,12,25.2,0.8,-1.2,99.0,19.6,58.0,60.5,4.8,16.1,16.1,22.9,1.3,1.7,40.0,7-10,.700,10-17,.588,3-8,.375,,,,,,,,
35,,,,,Top 50 quality games:,Top 50:,6,31.3,1.5,1.4,114.0,16.5,65.4,68.5,3.5,10.7,15.7,21.1,0.0,1.7,61.5,6-8,.750,4-8,.500,3-5,.600,,,,,,,,
36,2008,Sr,6-1,Adam Hood,Air Force,MWC,26,22.9,0.3,-3.0,94.8,16.7,56.8,67.8,2.3,12.2,18.4,37.7,0.0,1.8,163.6,28-36,.778,5-14,.357,5-8,.625,,,,,,,,
37,,,,,Conf. games:,Conf. games:,16,21.7,-0.3,-4.6,75.3,17.1,37.5,49.9,2.1,17.4,17.5,37.5,0.0,2.0,158.3,12-19,.632,3-9,.333,1-3,.333,,,,,,,,
38,,,,,Top 100 quality games:,Top 100:,12,22.1,-0.2,-6.3,70.9,22.0,50.0,56.1,2.7,14.4,18.0,43.7,0.0,2.6,133.3,10-16,.625,3-9,.333,2-3,.667,,,,,,,,
39,,,,,Top 50 quality games:,Top 50:,6,18.8,-0.1,-8.5,68.0,27.9,35.7,55.6,2.9,20.7,17.1,47.0,0.0,1.5,114.3,7-8,.875,1-5,.200,1-2,.500,,,,,,,,
40,2008,Sr,6-1,Nick Dials,Akron,MAC,35,79.2,3.8,4.9,117.2,20.6,52.3,59.9,2.1,7.5,26.9,20.7,0.2,2.0,50.4,123-141,.872,31-75,.413,77-205,.376,,,,,,,,
41,,,,,Conf. games:,Conf. games:,16,79.7,3.6,4.7,113.2,21.6,52.9,60.5,2.7,7.7,28.5,23.5,0.2,2.3,55.4,57-67,.851,16-34,.471,32-87,.368,,,,,,,,
42,,,,,Top 100 quality games:,Top 100:,13,84.9,4.3,3.4,113.5,20.4,45.7,54.1,3.2,7.3,28.7,18.7,0.3,1.4,43.5,45-50,.900,12-30,.400,27-85,.318,,,,,,,,
43,,,,,Top 50 quality games:,Top 50:,4,87.4,7.0,8.1,130.7,21.7,59.2,66.4,4.9,8.8,29.4,19.2,0.8,0.8,60.5,20-23,.870,3-10,.300,13-28,.464,,,,,,,,
44,2008,Sr,6-6,Jeremiah Wood,Akron,MAC,31,62.9,3.2,4.0,102.6,30.3,51.8,53.4,13.4,21.2,21.7,20.3,1.8,2.5,50.0,94-165,.570,162-321,.505,6-9,.667,,,,,,,,
45,,,,,Conf. games:,Conf. games:,12,50.3,3.2,2.3,103.4,30.2,51.3,54.4,11.8,17.8,23.4,20.3,1.5,1.3,56.6,40-64,.625,55-109,.505,2-4,.500,,,,,,,,
46,,,,,Top 100 quality games:,Top 100:,12,70.5,4.1,6.2,103.3,30.0,53.7,53.8,12.2,19.1,23.8,18.7,1.3,3.6,54.8,38-74,.514,65-127,.512,5-8,.625,,,,,,,,
47,,,,,Top 50 quality games:,Top 50:,4,86.9,4.0,4.6,101.5,27.4,57.0,58.0,8.2,15.7,19.5,26.0,1.6,2.9,40.0,12-20,.600,24-46,.522,3-4,.750,,,,,,,,
48,2008,Sr,6-0,Cedrick Middleton,Akron,MAC,35,65.6,2.1,4.3,108.5,18.9,52.2,55.3,2.3,7.8,11.9,16.8,0.6,3.3,25.5,54-70,.771,44-112,.393,66-162,.407,,,,,,,,
49,,,,,Conf. games:,Conf. games:,16,63.1,1.7,3.8,104.0,18.8,49.2,52.3,2.8,6.7,10.1,15.4,0.6,3.4,22.5,21-27,.778,17-43,.395,28-77,.364,,,,,,,,
50,,,,,Top 100 quality games:,Top 100:,13,72.5,2.9,4.4,108.3,18.9,55.3,57.3,1.9,7.8,8.8,17.5,0.0,2.7,24.6,20-28,.714,15-46,.326,32-68,.471,,,,,,,,
51,,,,,Top 50 quality games:,Top 50:,4,63.4,1.6,-0.4,97.3,19.8,47.1,50.1,4.5,2.7,10.2,23.1,0.0,2.3,11.8,4-4,1.000,4-15,.267,8-19,.421,,,,,,,,
52,2008,Sr,6-7,Quade Milum,Akron,MAC,34,47.3,1.1,0.6,104.6,16.6,53.9,54.9,6.4,14.0,4.8,16.6,3.7,1.1,46.4,40-71,.563,72-132,.545,7-21,.333,,,,,,,,
53,,,,,Conf. games:,Conf. games:,16,48.3,1.2,0.3,106.3,16.8,56.2,59.2,8.6,14.1,7.0,22.5,4.3,1.0,38.5,18-25,.720,32-56,.571,3-9,.333,,,,,,,,
54,,,,,Top 100 quality games:,Top 100:,12,33.5,-1.4,-6.1,62.5,11.8,40.4,35.8,2.7,9.6,2.4,27.2,2.7,0.7,38.5,1-10,.100,9-21,.429,1-5,.200,,,,,,,,
