"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2011,"So","6-8","Derrick Williams","Arizona","P12","38","74.1","5.9","12.0","123.1","28.7","65.0","69.0","11.8",16,8.7,18.2,2.3,1.9,87.1,"247-331",0.746,"184-306",0.601,"42-74",0.568,2011,2,"MIN","University of Arizona",7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-3.2,-2.6
2011,"So","6-8","Derrick Williams","Conf. games:","Conf. games:","18","75.6","5.4","10.1","117.3","28.0","64.5","67.3","11.2",23.1,8,19.3,2,1.5,92.4,"111-159",0.698,"87-143",0.608,"16-29",0.552,2011,2,"MIN","University of Arizona",7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-3.2,-2.6
2011,"So","6-8","Derrick Williams","Top 100 quality games:","Top 100:","23","76.6","5.9","10.5","116.2","29.7","59.9","64.9","10.5",20.9,8.4,18.6,2.3,1.7,80.6,"151-204",0.74,"117-203",0.576,"23-50",0.46,2011,2,"MIN","University of Arizona",7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-3.2,-2.6
2011,"So","6-8","Derrick Williams","Top 50 quality games:","Top 50:","12","80.2","5.9","10.2","108.5","32.2","53.2","58.4","11.4",23.1,10.3,19.2,2.8,2.2,64.6,"73-102",0.716,"63-125",0.504,"14-33",0.424,2011,2,"MIN","University of Arizona",7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-3.2,-2.6
2011,"Jr","6-3","Reggie Jackson","Boston College","ACC","34","85.4","6.3","8.2","120.5","27.2","58.5","61.8","3.9",6.8,29.7,16,1.7,1.9,31.5,"109-137",0.796,"148-266",0.556,"71-169",0.42,2011,24,"OKC","Boston College",8,530,13377,6835,1567,2330,0.429,0.333,0.859,25.2,12.9,3,4.4,28.2,0.101,-0.1,6.6
2011,"Jr","6-3","Reggie Jackson","Conf. games:","Conf. games:","16","83.3","6.6","8.5","118.9","28.0","55.0","60.0","3.6",8.8,30.9,15.5,1.7,1.8,33.2,"60-69",0.87,"65-125",0.52,"33-83",0.398,2011,24,"OKC","Boston College",8,530,13377,6835,1567,2330,0.429,0.333,0.859,25.2,12.9,3,4.4,28.2,0.101,-0.1,6.6
2011,"Jr","6-3","Reggie Jackson","Top 100 quality games:","Top 100:","21","87.5","5.5","5.6","110.6","27.1","50.5","54.9","3.6",7.3,26.3,15.5,1.2,1.7,28.9,"66-80",0.825,"83-166",0.5,"38-111",0.342,2011,24,"OKC","Boston College",8,530,13377,6835,1567,2330,0.429,0.333,0.859,25.2,12.9,3,4.4,28.2,0.101,-0.1,6.6
2011,"Jr","6-3","Reggie Jackson","Top 50 quality games:","Top 50:","10","88.8","4.1","1.7","96.2","28.8","42.0","46.9","2.5",7.4,29,17.3,2,0.9,29.4,"33-42",0.786,"36-87",0.414,"16-56",0.286,2011,24,"OKC","Boston College",8,530,13377,6835,1567,2330,0.429,0.333,0.859,25.2,12.9,3,4.4,28.2,0.101,-0.1,6.6
2011,"Jr","6-3","Shelvin Mack","Butler","Horz","37","79.4","4.0","5.7","107.1","27.9","49.0","53.2","2.7",10,25.1,16.9,0.3,1.4,32.6,"120-156",0.769,"107-237",0.451,"85-242",0.351,2011,34,"WAS","Butler University",8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-2.7,-1.5
2011,"Jr","6-3","Shelvin Mack","Conf. games:","Conf. games:","18","81.2","3.6","3.6","106.6","26.9","47.5","53.1","2.1",13.9,23.8,18.4,0.2,1.2,31.7,"60-70",0.857,"51-113",0.451,"36-108",0.333,2011,34,"WAS","Butler University",8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-2.7,-1.5
2011,"Jr","6-3","Shelvin Mack","Top 100 quality games:","Top 100:","17","79.4","4.2","6.0","103.9","28.3","50.5","54.3","2.7",9.7,24.8,20.1,0.4,1.3,34.1,"55-74",0.743,"42-93",0.452,"45-124",0.363,2011,34,"WAS","Butler University",8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-2.7,-1.5
2011,"Jr","6-3","Shelvin Mack","Top 50 quality games:","Top 50:","8","79.1","5.3","9.9","104.7","32.3","51.8","56.2","3.7",7,27.3,18.7,0.9,2.4,39.8,"34-45",0.756,"21-44",0.477,"25-69",0.362,2011,34,"WAS","Butler University",8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-2.7,-1.5
2011,"Sr","6-2","Jimmer Fredette","BYU","MWC","36","89.4","7.4","10.5","114.7","36.6","53.1","59.2","2.0",5.6,28.6,15.3,0.1,2.1,36.9,"250-280",0.893,"221-450",0.491,"121-308",0.393,2011,10,"MIL","Brigham Young University",6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-4.2,-1.8
2011,"Sr","6-2","Jimmer Fredette","Conf. games:","Conf. games:","16","92.0","8.2","10.9","114.7","38.5","52.2","60.0","1.9",8.5,27.8,15.7,0,2.3,47.1,"145-161",0.901,"93-209",0.445,"57-133",0.429,2011,10,"MIL","Brigham Young University",6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-4.2,-1.8
2011,"Sr","6-2","Jimmer Fredette","Top 100 quality games:","Top 100:","20","93.8","9.0","11.2","115.1","38.8","52.7","58.7","1.8",6.9,32.2,14.9,0,2.2,37.8,"152-174",0.874,"136-276",0.493,"71-184",0.386,2011,10,"MIL","Brigham Young University",6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-4.2,-1.8
2011,"Sr","6-2","Jimmer Fredette","Top 50 quality games:","Top 50:","12","94.0","9.3","11.7","115.2","38.3","54.3","59.7","1.8",6.9,31,15.4,0,2.1,37,"84-98",0.857,"75-154",0.487,"46-111",0.414,2011,10,"MIL","Brigham Young University",6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-4.2,-1.8
2011,"Jr","6-10","James Anderson","BYU","MWC","30","15.9","-0.4","-4.5","76.1","13.0","32.5","31.5","7.2",4.6,4.1,13,7.3,1.2,65,"7-26",0.269,"13-40",0.325,"0-0",0,2010,20,"SAS","Oklahoma State University",5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
2011,"Jr","6-10","James Anderson","Conf. games:","Conf. games:","13","12.5","-0.1","-3.2","90.3","8.4","44.4","38.4","7.2",6.6,4,16.5,12.1,0.7,33.3,"0-3",0,"4-9",0.444,"0-0",0,2010,20,"SAS","Oklahoma State University",5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
2011,"Jr","6-10","James Anderson","Top 100 quality games:","Top 100:","17","19.0","-0.4","-3.4","76.6","11.0","32.0","29.5","6.6",7.1,5.3,13.5,9.5,1.1,32,"1-8",0.125,"8-25",0.32,"0-0",0,2010,20,"SAS","Oklahoma State University",5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
2011,"Jr","6-10","James Anderson","Top 50 quality games:","Top 50:","11","22.5","-0.7","-2.2","68.3","10.8","23.5","22.1","7.4",6.8,4.5,9.8,9.7,1.6,41.2,"1-7",0.143,"4-17",0.235,"0-0",0,2010,20,"SAS","Oklahoma State University",5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9
2011,"Sr","6-2","Norris Cole","Cleveland St.","Horz","34","90.2","6.0","10.0","112.9","32.8","47.0","54.8","2.5",12.6,38,14.3,0.3,3.7,47.2,"221-259",0.853,"189-407",0.464,"46-142",0.324,2011,28,"CHI","Cleveland State University",6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4,-4
