"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2008,"Jr","6-9","Richard Hendrix","Alabama","SEC","32","73.1","4.8","9.3","117.4","26.2","60.1","59.4","13.1","23.5","11.5","12.3","7.2","2.4","52.5","108-201",".537","227-376",".604","2-7",".286",2008,49,"GSW","University of Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Jr","6-9","Richard Hendrix","Conf. games:","Conf. games:","15","72.5","3.9","7.0","107.2","26.4","57.0","55.7","13.2","23.0","11.1","15.3","7.3","2.7","58.7","49-101",".485","98-171",".573","0-1",".000",2008,49,"GSW","University of Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Jr","6-9","Richard Hendrix","Top 100 quality games:","Top 100:","18","73.2","4.9","8.6","112.6","26.3","57.7","57.2","12.8","22.5","11.9","12.5","7.5","2.2","54.9","61-117",".521","123-210",".586","0-3",".000",2008,49,"GSW","University of Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Jr","6-9","Richard Hendrix","Top 50 quality games:","Top 50:","10","70.7","4.6","7.1","108.9","25.4","55.6","56.5","11.1","20.9","9.9","13.6","7.8","2.0","36.5","27-46",".587","70-123",".569","0-3",".000",2008,49,"GSW","University of Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Fr","6-3","Jerryd Bayless","Arizona","P12","29","77.8","6.1","7.6","113.2","28.8","53.9","61.3","1.6","7.5","24.9","17.7","0.3","1.7","57.8","179-214",".836","111-228",".487","59-142",".415",2008,11,"IND","University of Arizona",11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-2,0
2008,"Fr","6-3","Jerryd Bayless","Conf. games:","Conf. games:","15","75.7","6.8","8.3","114.2","29.5","54.4","61.8","1.7","6.4","24.9","16.6","0.4","1.9","62.1","100-121",".826","58-113",".513","32-82",".390",2008,11,"IND","University of Arizona",11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-2,0
2008,"Fr","6-3","Jerryd Bayless","Top 100 quality games:","Top 100:","21","79.9","6.7","7.4","112.7","29.0","52.4","61.0","1.9","7.0","25.6","17.6","0.3","1.6","62.2","144-168",".857","80-171",".468","41-99",".414",2008,11,"IND","University of Arizona",11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-2,0
2008,"Fr","6-3","Jerryd Bayless","Top 50 quality games:","Top 50:","18","82.5","5.7","5.2","106.1","28.4","46.4","56.5","2.1","7.2","24.1","18.2","0.1","1.5","64.6","122-144",".847","66-149",".443","25-74",".338",2008,11,"IND","University of Arizona",11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-2,0
2008,"Sr","6-6","Sonny Weems","Arkansas","SEC","34","76.0","3.3","4.7","106.1","24.3","52.7","55.2","6.2","10.4","17.3","21.1","0.8","2.4","17.9","61-76",".803","143-279",".513","54-146",".370",2008,39,"CHI","University of Arkansas",4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.9
2008,"Sr","6-6","Sonny Weems","Conf. games:","Conf. games:","16","83.7","4.6","6.8","112.6","24.9","53.3","55.6","5.6","11.4","19.2","15.1","0.8","1.7","17.5","32-40",".800","62-135",".459","40-94",".426",2008,39,"CHI","University of Arkansas",4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.9
