"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2010,"Jr","6-10","Ekpe Udoh","Baylor","B12","35","88.0","4.4","8.0","110.5","23.0","49.1","53.0","12.8",17.6,14.7,17.9,11,1.4,41.4,"110-159",0.692,"178-358",0.497,"7-26",0.269,2010,6,"GSW","Baylor University",7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,0.2,3.2
2010,"Jr","6-10","Ekpe Udoh","Conf. games:","Conf. games:","16","89.0","3.3","5.2","101.0","22.2","44.4","49.0","10.9",17.1,12.8,21,10.2,1.5,38.5,"46-65",0.708,"69-155",0.445,"4-14",0.286,2010,6,"GSW","Baylor University",7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,0.2,3.2
2010,"Jr","6-10","Ekpe Udoh","Top 100 quality games:","Top 100:","26","89.3","4.2","6.5","106.1","22.7","47.4","50.8","12.4",17.9,14.9,18.8,8.6,1.3,35.9,"69-103",0.67,"127-268",0.474,"6-19",0.316,2010,6,"GSW","Baylor University",7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,0.2,3.2
2010,"Jr","6-10","Ekpe Udoh","Top 50 quality games:","Top 50:","16","88.2","3.9","4.5","102.3","22.3","43.1","47.4","11.1",17,14.3,18.4,6.5,1.6,34.3,"42-60",0.7,"71-164",0.433,"3-11",0.273,2010,6,"GSW","Baylor University",7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,0.2,3.2
2010,"So","6-9","Gordon Hayward","Butler","Horz","37","81.2","4.6","9.3","113.3","24.4","52.7","60.1","7.6",23.4,12.1,17.5,2.8,2,57.9,"179-216",0.829,"126-213",0.592,"47-160",0.294,2010,9,"UTA","Butler University",9,589,18032,8904,2472,2006,0.446,0.364,0.821,30.6,15.1,4.2,3.4,47.9,0.128,1.9,17.5
2010,"So","6-9","Gordon Hayward","Conf. games:","Conf. games:","17","75.0","4.5","10.3","120.6","23.3","57.3","63.9","6.7",23.4,12.8,16.9,2.9,2.3,59.5,"78-94",0.83,"65-91",0.714,"17-67",0.254,2010,9,"UTA","Butler University",9,589,18032,8904,2472,2006,0.446,0.364,0.821,30.6,15.1,4.2,3.4,47.9,0.128,1.9,17.5
2010,"So","6-9","Gordon Hayward","Top 100 quality games:","Top 100:","17","89.1","5.2","9.1","109.0","25.4","50.8","58.5","7.8",23.7,12,18.6,2.5,1.7,56.5,"87-105",0.829,"54-105",0.514,"27-81",0.333,2010,9,"UTA","Butler University",9,589,18032,8904,2472,2006,0.446,0.364,0.821,30.6,15.1,4.2,3.4,47.9,0.128,1.9,17.5
2010,"So","6-9","Gordon Hayward","Top 50 quality games:","Top 50:","11","91.4","5.9","9.7","110.2","25.7","50.0","58.3","8.3",22.8,9.1,17.2,2.8,1.7,55.6,"63-74",0.851,"35-72",0.486,"21-61",0.344,2010,9,"UTA","Butler University",9,589,18032,8904,2472,2006,0.446,0.364,0.821,30.6,15.1,4.2,3.4,47.9,0.128,1.9,17.5
2010,"Fr","6-5","Lance Stephenson","Cincinnati","BE","34","67.6","2.6","3.4","99.3","26.0","46.2","49.3","7.3",14,19.1,19.5,0.7,1.9,32.3,"79-119",0.664,"146-295",0.495,"16-73",0.219,2010,40,"IND","University of Cincinnati",9,508,11866,4354,2124,1456,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-0.8,3.5
2010,"Fr","6-5","Lance Stephenson","Conf. games:","Conf. games:","17","66.3","2.5","2.6","96.2","26.8","46.3","49.9","8.6",14.3,15.6,21.2,0.5,2,39.1,"45-68",0.662,"70-140",0.5,"7-34",0.206,2010,40,"IND","University of Cincinnati",9,508,11866,4354,2124,1456,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-0.8,3.5
