"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2009,"Jr","6-7","Chase Budinger","Arizona","P12","35","93.7","6.0","8.0","117.5","23.9","55.4","59.4","4.9","14.8","19.0","16.6","1.4","2.3","34.2","125-156",".801","152-288",".528","67-168",".399",2009,44,"DET","University of Arizona",7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-1.4,1.2
2009,"Jr","6-7","Chase Budinger","Conf. games:","Conf. games:","18","95.1","7.0","9.5","121.9","24.2","56.7","61.3","4.9","15.5","20.0","14.2","1.0","2.4","38.6","74-90",".822","78-144",".542","36-89",".404",2009,44,"DET","University of Arizona",7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-1.4,1.2
2009,"Jr","6-7","Chase Budinger","Top 100 quality games:","Top 100:","26","95.3","5.7","6.2","111.5","23.9","51.4","55.7","4.6","13.7","19.2","17.1","0.9","2.2","30.3","86-106",".811","111-222",".500","46-128",".359",2009,44,"DET","University of Arizona",7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-1.4,1.2
2009,"Jr","6-7","Chase Budinger","Top 50 quality games:","Top 50:","17","95.4","4.9","5.3","105.5","23.5","49.1","53.7","3.7","14.6","19.9","19.8","0.5","2.6","29.6","52-63",".825","64-137",".467","27-76",".355",2009,44,"DET","University of Arizona",7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-1.4,1.2
2009,"Jr","6-10","Jordan Hill","Arizona","P12","34","86.3","5.3","6.0","108.9","28.0","53.7","56.0","15.4","22.2","9.6","17.5","5.6","1.5","38.2","117-179",".654","252-469",".537","0-0",".000",2009,8,"NYK","University of Arizona",8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
2009,"Jr","6-10","Jordan Hill","Conf. games:","Conf. games:","18","91.8","5.1","4.3","106.7","27.0","53.9","56.0","13.3","21.0","9.7","18.0","4.1","1.5","36.1","56-87",".644","130-241",".539","0-0",".000",2009,8,"NYK","University of Arizona",8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
2009,"Jr","6-10","Jordan Hill","Top 100 quality games:","Top 100:","26","90.7","5.5","5.2","106.0","28.5","52.6","54.9","14.7","21.7","9.8","18.3","5.0","1.5","33.7","84-128",".656","200-380",".526","0-0",".000",2009,8,"NYK","University of Arizona",8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
2009,"Jr","6-10","Jordan Hill","Top 50 quality games:","Top 50:","17","87.9","5.4","4.9","104.6","29.4","53.0","54.5","14.8","20.1","9.7","18.1","4.2","1.8","30.9","47-77",".610","132-249",".530","0-0",".000",2009,8,"NYK","University of Arizona",8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
2009,"So","6-5","James Harden","Arizona St.","P12","35","88.3","6.5","10.1","112.8","32.6","55.3","60.7","5.5","14.6","29.2","19.0","1.1","3.1","59.7","204-270",".756","163-289",".564","58-163",".356",2009,3,"OKC","Arizona State University",10,765,26106,18627,4000,4743,0.443,0.365,0.857,34.1,24.3,5.2,6.2,121.9,0.224,7.1,59.9
2009,"So","6-5","James Harden","Conf. games:","Conf. games:","18","91.8","5.6","8.3","105.1","31.9","51.0","56.1","4.3","12.7","27.5","19.1","1.8","2.9","53.5","93-129",".721","84-155",".542","26-86",".302",2009,3,"OKC","Arizona State University",10,765,26106,18627,4000,4743,0.443,0.365,0.857,34.1,24.3,5.2,6.2,121.9,0.224,7.1,59.9
