,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2010,Sr,6-6,Kevin Palmer,Texas A&M Corpus Chris,Slnd,29,82.3,3.8,5.6,103.1,32.2,52.0,57.3,6.6,13.4,20.7,23.8,1.0,4.3,52.0,159-212,.750,143-262,.546,46-146,.315,,,,
1,,,,,Conf. games:,Conf. games:,16,82.9,3.3,4.7,102.6,31.5,50.9,57.0,6.4,12.7,20.4,22.7,1.1,4.4,60.1,95-128,.742,80-143,.559,19-70,.271,,,,
2,,,,,Top 100 quality games:,Top 100:,7,79.6,4.7,6.4,103.3,32.9,53.3,57.6,7.7,9.2,19.8,25.9,0.5,4.3,48.1,37-51,.725,28-64,.438,19-42,.452,,,,
3,,,,,Top 50 quality games:,Top 50:,3,77.5,5.4,5.3,104.2,33.8,45.7,53.1,7.8,9.2,17.5,21.5,0.0,2.5,59.6,21-28,.750,11-32,.344,7-15,.467,,,,
4,2010,Sr,6-1,Shamar Coombs,Texas A&M Corpus Chris,Slnd,29,37.3,0.2,-3.5,92.9,17.5,50.5,51.9,2.8,9.8,16.2,29.1,0.3,1.4,20.6,14-22,.636,18-36,.500,24-71,.338,,,,
5,,,,,Conf. games:,Conf. games:,16,32.5,0.6,-1.3,105.0,18.1,53.6,55.1,3.6,9.3,18.9,21.7,0.0,1.7,25.0,9-14,.643,9-16,.563,14-40,.350,,,,
6,,,,,Top 100 quality games:,Top 100:,7,32.1,-1.1,-10.5,57.0,18.6,28.6,28.6,1.2,8.8,26.7,46.7,1.2,1.3,0.0,0-0,.000,3-7,.429,2-14,.143,,,,
7,,,,,Top 50 quality games:,Top 50:,3,30.0,-0.8,-8.5,64.4,15.1,41.7,41.7,2.9,11.9,25.0,51.8,0.0,0.0,0.0,0-0,.000,1-2,.500,1-4,.250,,,,
8,2010,Sr,7-0,Filip Toncinic,Texas A&M Corpus Chris,Slnd,24,27.7,-0.2,-1.4,84.4,16.1,42.1,43.4,5.3,16.1,10.4,25.8,7.9,1.3,22.4,9-17,.529,20-50,.400,8-26,.308,,,,
9,,,,,Conf. games:,Conf. games:,12,20.9,0.1,0.5,96.1,16.1,53.6,55.0,6.6,12.6,10.5,27.0,11.5,1.3,35.7,6-10,.600,9-18,.500,4-10,.400,,,,
10,,,,,Top 100 quality games:,Top 100:,7,43.9,0.1,-0.9,88.4,14.9,36.1,39.1,2.6,20.3,9.8,18.3,3.5,0.9,13.9,4-5,.800,10-24,.417,2-12,.167,,,,
11,,,,,Top 50 quality games:,Top 50:,3,45.8,-2.5,-5.3,49.6,9.7,18.2,17.4,1.9,11.7,7.8,21.2,4.1,0.0,9.1,0-1,.000,2-7,.286,0-4,.000,,,,
12,2010,Sr,6-5,Marcus Hammonds,Texas A&M Corpus Chris,Slnd,28,40.3,-0.4,-2.1,89.3,12.4,47.0,47.9,5.5,12.2,9.3,29.0,1.2,1.9,14.6,7-12,.583,19-47,.404,13-35,.371,,,,
