"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2012,"Jr","6-6","Tony Mitchell","Alabama","SEC","22","51.4","2.8","6.3","101.6","24.6","49.4","50.8","6.8",15.2,14.1,15.4,5.3,2,20,"32-52",0.615,"94-186",0.505,"23-74",0.311,2013,37,"DET","University of North Texas",1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,1.3,0.1
2012,"Jr","6-6","Tony Mitchell","Conf. games:","Conf. games:","8","36.6","1.7","3.4","92.6","22.6","40.9","42.3","7.9",18.2,13.9,14.1,5.4,2.1,10.2,"6-9",0.667,"27-63",0.429,"6-25",0.24,2013,37,"DET","University of North Texas",1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,1.3,0.1
2012,"Jr","6-6","Tony Mitchell","Top 100 quality games:","Top 100:","10","45.0","3.2","4.9","100.4","22.3","50.9","52.7","4.2",11.8,12.4,16.6,4.6,1.5,25,"18-28",0.643,"42-79",0.532,"10-33",0.303,2013,37,"DET","University of North Texas",1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,1.3,0.1
2012,"Jr","6-6","Tony Mitchell","Top 50 quality games:","Top 50:","8","63.6","2.6","3.9","95.3","22.8","48.9","50.5","5.0",11.9,12,17.1,4.3,1.4,18.3,"11-17",0.647,"35-68",0.515,"7-25",0.28,2013,37,"DET","University of North Texas",1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,1.3,0.1
2012,"Sr","6-7","Quincy Acy","Baylor","B12","37","74.6","3.7","6.6","116.7","19.2","57.1","62.9","10.7",17.5,6.5,19.9,6.5,1.8,64.9,"132-170",0.776,"145-257",0.564,"3-5",0.6,2012,37,"TOR","Baylor University",7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
2012,"Sr","6-7","Quincy Acy","Conf. games:","Conf. games:","18","75.4","4.1","6.7","117.6","19.1","58.8","64.2","11.3",17.2,6.2,20.4,5.9,2,55,"58-72",0.806,"74-128",0.578,"2-3",0.667,2012,37,"TOR","Baylor University",7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
2012,"Sr","6-7","Quincy Acy","Top 100 quality games:","Top 100:","26","76.7","4.2","6.7","117.0","19.4","58.9","64.0","11.0",19.2,6.8,20.7,5.5,1.9,58.1,"87-111",0.784,"111-188",0.59,"1-3",0.333,2012,37,"TOR","Baylor University",7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
2012,"Sr","6-7","Quincy Acy","Top 50 quality games:","Top 50:","16","77.1","4.1","6.0","113.6","20.0","58.8","62.8","10.1",18.1,5,20.5,5.5,1.9,50.4,"50-66",0.758,"77-129",0.597,"0-2",0,2012,37,"TOR","Baylor University",7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
2012,"Fr","6-9","Quincy Miller","Baylor","B12","36","59.3","2.8","4.4","107.8","23.3","48.9","54.4","7.6",14.7,11.3,18.6,2.7,1.6,36.7,"92-112",0.821,"113-238",0.475,"24-67",0.358,2012,38,"DEN","Baylor University",3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
2012,"Fr","6-9","Quincy Miller","Conf. games:","Conf. games:","18","62.5","3.3","5.3","108.9","24.4","50.0","55.5","7.8",16.1,9.8,17.6,1.7,1.7,37.2,"50-61",0.82,"61-126",0.484,"14-38",0.368,2012,38,"DEN","Baylor University",3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
2012,"Fr","6-9","Quincy Miller","Top 100 quality games:","Top 100:","26","59.0","2.7","4.3","105.9","23.1","49.8","54.2","7.8",15.1,10.6,19.5,2.7,1.9,26.9,"49-58",0.845,"85-173",0.491,"15-43",0.349,2012,38,"DEN","Baylor University",3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
2012,"Fr","6-9","Quincy Miller","Top 50 quality games:","Top 50:","16","57.4","2.6","3.9","105.3","22.2","51.2","55.1","6.6",13.9,11.6,20.4,2.7,1.8,23,"25-29",0.862,"51-101",0.505,"9-25",0.36,2012,38,"DEN","Baylor University",3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5
2012,"Sr","6-4","Joe Harris","Central Arkansas","Slnd","15","14.3","0.3","-3.1","103.7","14.4","56.0","53.5","5.7",11.4,6.3,14.8,0,1.1,9.5,"0-4",0,"10-18",0.556,"9-24",0.375,2014,33,"CLE","University of Virginia",5,262,5914,2454,742,391,0.475,0.427,0.797,22.6,9.4,2.8,1.5,10.4,0.085,-0.5,2.2
2012,"Sr","6-4","Joe Harris","Conf. games:","Conf. games:","11","19.4","0.1","-3.5","98.2","14.4","52.9","50.1","6.1",11.9,5.9,15,0,1.3,11.8,"0-4",0,"9-16",0.563,"6-18",0.333,2014,33,"CLE","University of Virginia",5,262,5914,2454,742,391,0.475,0.427,0.797,22.6,9.4,2.8,1.5,10.4,0.085,-0.5,2.2
2012,"Sr","6-4","Joe Harris","Top 100 quality games:","Top 100:","2","10.0","2.1","4.4","205.3","10.4","100.0","100.0","7.7",0,19.6,0,0,0,0,"0-0",0,"0-1",0,"2-2",1,2014,33,"CLE","University of Virginia",5,262,5914,2454,742,391,0.475,0.427,0.797,22.6,9.4,2.8,1.5,10.4,0.085,-0.5,2.2
2012,"Sr","6-4","Joe Harris","Top 50 quality games:","Top 50:","1","7.5","3.9","16.8","300.0","6.6","150.0","150.0","0.0",0,0,0,0,0,0,"0-0",0,"0-0",0,"2-2",1,2014,33,"CLE","University of Virginia",5,262,5914,2454,742,391,0.475,0.427,0.797,22.6,9.4,2.8,1.5,10.4,0.085,-0.5,2.2
2012,"Fr","6-4","Austin Rivers","Duke","ACC","34","82.4","3.6","3.9","104.8","24.0","50.5","53.8","2.2",8.1,13,17,0.1,1.7,45.8,"121-184",0.658,"116-243",0.477,"58-159",0.365,2012,10,"NOH","Duke University",7,484,11923,4457,988,1154,0.417,0.347,0.637,24.6,9.2,2,2.4,9.1,0.036,-2.8,-2.3
2012,"Fr","6-4","Austin Rivers","Conf. games:","Conf. games:","16","87.5","3.7","4.3","104.2","22.9","52.6","54.2","1.8",10,12,17,0,1.7,40.9,"47-79",0.595,"55-107",0.514,"31-86",0.36,2012,10,"NOH","Duke University",7,484,11923,4457,988,1154,0.417,0.347,0.637,24.6,9.2,2,2.4,9.1,0.036,-2.8,-2.3
2012,"Fr","6-4","Austin Rivers","Top 100 quality games:","Top 100:","22","85.1","4.0","3.4","102.2","25.2","49.1","52.8","2.8",7.6,12.2,16.5,0,1.3,42.8,"80-119",0.672,"78-168",0.464,"39-110",0.355,2012,10,"NOH","Duke University",7,484,11923,4457,988,1154,0.417,0.347,0.637,24.6,9.2,2,2.4,9.1,0.036,-2.8,-2.3
2012,"Fr","6-4","Austin Rivers","Top 50 quality games:","Top 50:","12","83.1","4.2","2.7","100.4","25.6","48.7","51.6","2.7",6.9,11.8,15.7,0,1,41.6,"39-62",0.629,"38-90",0.422,"23-59",0.39,2012,10,"NOH","Duke University",7,484,11923,4457,988,1154,0.417,0.347,0.637,24.6,9.2,2,2.4,9.1,0.036,-2.8,-2.3
2012,"Sr","6-10","Miles Plumlee","Duke","ACC","34","50.9","2.5","5.3","117.3","17.6","61.0","62.0","16.6",21.3,5.1,20,4.2,1.5,52.1,"48-76",0.632,"89-146",0.61,"0-0",0,2012,26,"IND","Duke University",7,346,5658,1697,1562,178,0.542,0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
2012,"Sr","6-10","Miles Plumlee","Conf. games:","Conf. games:","16","54.6","2.4","3.9","114.7","17.2","57.7","58.0","17.9",22.9,5,19.6,2.1,1.5,45.1,"18-32",0.563,"41-71",0.577,"0-0",0,2012,26,"IND","Duke University",7,346,5658,1697,1562,178,0.542,0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
2012,"Sr","6-10","Miles Plumlee","Top 100 quality games:","Top 100:","22","48.8","2.6","4.2","117.0","17.4","59.8","61.4","15.5",15.3,4.8,18.9,3.1,1.4,44.6,"27-41",0.659,"55-92",0.598,"0-0",0,2012,26,"IND","Duke University",7,346,5658,1697,1562,178,0.542,0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
2012,"Sr","6-10","Miles Plumlee","Top 50 quality games:","Top 50:","12","50.2","3.4","5.5","121.9","18.2","68.6","69.2","16.8",17.3,4.6,21.8,2.9,1.5,43.1,"15-22",0.682,"35-51",0.686,"0-0",0,2012,26,"IND","Duke University",7,346,5658,1697,1562,178,0.542,0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
2012,"Fr","6-3","Bradley Beal","Florida","SEC","37","84.7","4.5","7.7","112.3","22.4","52.5","57.5","4.8",16,12.7,17,2.6,2.5,44,"133-173",0.769,"112-207",0.541,"63-186",0.339,2012,3,"WAS","University of Florida",7,488,16779,9684,1927,1824,0.452,0.384,0.798,34.4,19.8,3.9,3.7,36.4,0.104,1,12.6
2012,"Fr","6-3","Bradley Beal","Conf. games:","Conf. games:","16","86.4","4.9","8.7","113.0","22.7","50.3","57.7","4.5",20.2,11.8,15.9,3.1,2.5,53.5,"70-85",0.824,"47-89",0.528,"22-70",0.314,2012,3,"WAS","University of Florida",7,488,16779,9684,1927,1824,0.452,0.384,0.798,34.4,19.8,3.9,3.7,36.4,0.104,1,12.6
