"Yr","Cls","Ht","Player","Team","Conf","G.x","Min%","PRPG!","GBPM","ORtg","Usg","eFG","TS","OR","DR","Ast","TO","Blk","Stl","FTR","FT_raw","FT_pct","2P_raw","2P_pct","3P_raw","3P_pct","Draft_Yr","Pk","Tm","College","Yrs","G.y","MP","PTS","TRB","AST","FG_Perc","X3P_Perc","FT_Perc","MP_per_G","PTS_per_G_per_G","TRB_per_G_per_G","AST_per_G_per_G","WS_per_G","WS_per_48","BPM","VORP"
2013,"Jr","6-5","Jamaal Franklin","Conf. games:","Conf. games:","16","84.7","3.8","6.8","98.6","30.2","43.0","50.2","5.7",24.5,17.7,18.5,2.5,2.8,50.7,"83-109",0.761,"61-136",0.449,"21-79",0.266,2013,41,"MEM","San Diego State University",2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.4,-0.1
2013,"Jr","6-5","Jamaal Franklin","Top 100 quality games:","Top 100:","19","85.5","3.7","6.2","95.7","30.4","41.4","49.2","5.0",23.2,21.1,19.4,1.6,3,47.9,"100-126",0.794,"70-162",0.432,"26-101",0.257,2013,41,"MEM","San Diego State University",2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.4,-0.1
2013,"Jr","6-5","Jamaal Franklin","Top 50 quality games:","Top 50:","11","83.8","3.6","6.1","95.3","29.3","40.6","47.7","4.9",21.9,17.5,16.2,1.3,3,47.4,"55-73",0.753,"40-90",0.444,"15-64",0.234,2013,41,"MEM","San Diego State University",2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.4,-0.1
2013,"Sr","6-3","Nate Wolters","South Dakota St.","Sum","31","91.8","6.9","10.0","122.7","30.8","54.5","60.3","3.6",14.1,35.1,12.8,0.4,2.9,46.3,"182-221",0.824,"167-314",0.532,"62-163",0.38,2013,38,"WAS","South Dakota State University",3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-4,-0.8
2013,"Sr","6-3","Nate Wolters","Conf. games:","Conf. games:","16","92.7","7.1","12.4","129.1","30.4","58.2","62.8","3.0",13.3,31.8,11,0.6,3.1,41.2,"86-105",0.819,"87-157",0.554,"41-98",0.418,2013,38,"WAS","South Dakota State University",3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-4,-0.8
2013,"Sr","6-3","Nate Wolters","Top 100 quality games:","Top 100:","6","81.8","7.9","9.9","115.7","31.2","53.8","60.1","2.2",17.1,32.5,15.1,0,2.2,47.3,"36-43",0.837,"34-63",0.54,"10-28",0.357,2013,38,"WAS","South Dakota State University",3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-4,-0.8
2013,"Sr","6-3","Nate Wolters","Top 50 quality games:","Top 50:","4","74.5","6.5","7.8","109.1","30.5","52.7","58.9","3.2",15.8,33.5,19,0,1.7,52.7,"23-29",0.793,"20-38",0.526,"6-17",0.353,2013,38,"WAS","South Dakota State University",3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-4,-0.8
2013,"Jr","6-6","Michael Porter","Southeast Missouri St.","OVC","1","1.3","0.1","-7.0","89.5","20.3","50.0","50.0","7.5",12.5,0,18,0,0,0,"0-0",0,"3-6",0.5,"0-0",0,2018,14,"DEN","University of Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Jr","6-6","Michael Porter","Conf. games:","Conf. games:","1","2.5","0.1","-7.0","90.3","19.9","50.0","50.0","7.7",12.7,0,18.2,0,0,0,"0-0",0,"3-6",0.5,"0-0",0,2018,14,"DEN","University of Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Jr","6-6","Michael Porter","2012","So","6-6","Michael Porter","Southeast Missouri St.","OVC","29","40.1","0.8","-3.3","109.9",15.5,58.2,60.2,9.7,11.7,6.8,"21.6",0.2,"1.8",40.2,"25-37",0.676,2018,14,"DEN","University of Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
