,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
21,,,,,Conf. games:,Conf. games:,5,7.5,-0.3,-0.9,69.3,19.3,31.3,32.3,5.6,21.4,20.9,22.1,0.0,2.9,75.0,2-6,.333,1-4,.250,1-4,.250,,,,,,,,
22,,,,,Top 100 quality games:,Top 100:,5,9.2,-0.3,1.4,71.2,18.6,31.3,32.3,6.0,25.2,17.9,16.5,0.0,3.1,75.0,2-6,.333,1-4,.250,1-4,.250,,,,,,,,
23,,,,,Top 50 quality games:,Top 50:,3,8.6,-0.1,-1.6,71.2,23.7,35.7,37.7,0.0,24.3,22.1,22.9,0.0,2.7,28.6,1-2,.500,1-3,.333,1-4,.250,,,,,,,,
24,2009,Sr,6-7,Nate Linhart,Akron,MAC,35,75.0,1.9,5.0,103.2,19.3,50.2,54.9,6.8,17.8,10.9,21.9,2.1,3.5,31.8,73-89,.820,85-163,.521,37-117,.316,,,,,,,,
25,,,,,Conf. games:,Conf. games:,16,73.4,1.6,4.6,103.1,16.9,52.0,57.7,6.3,17.4,9.4,24.5,2.2,3.0,36.3,32-37,.865,32-61,.525,14-41,.341,,,,,,,,
26,,,,,Top 100 quality games:,Top 100:,7,81.1,2.6,5.6,101.8,19.0,51.5,53.0,5.8,13.8,14.3,20.1,1.5,3.2,9.1,5-6,.833,19-38,.500,10-28,.357,,,,,,,,
27,,,,,Top 50 quality games:,Top 50:,3,78.3,5.7,6.5,127.3,18.9,64.3,65.6,3.9,14.5,20.2,14.3,3.6,0.7,7.1,2-2,1.000,12-16,.750,4-12,.333,,,,,,,,
28,2009,Fr,6-2,Eric Coblentz,Akron,MAC,12,3.5,0.5,6.2,124.3,18.9,60.0,57.6,4.8,12.4,19.7,6.7,0.0,2.5,33.3,2-5,.400,3-4,.750,4-11,.364,,,,,,,,
29,,,,,Conf. games:,Conf. games:,5,2.2,0.5,17.0,145.8,16.3,125.0,80.0,0.0,16.9,17.8,0.0,0.0,4.4,250.0,2-5,.400,1-1,1.000,1-1,1.000,,,,,,,,
30,,,,,Top 100 quality games:,Top 100:,3,2.1,-0.6,-21.8,0.0,17.4,0.0,0.0,0.0,21.3,0.0,60.1,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,,,,,
31,,,,,Top 50 quality games:,Top 50:,1,0.8,-0.3,-24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
32,2009,Sr,6-6,Alonzo Gee,Alabama,SEC,30,80.2,3.1,2.8,103.3,24.7,47.8,50.6,9.9,13.3,8.3,16.3,2.1,1.5,39.7,94-150,.627,140-307,.456,27-71,.380,,,,,,,,
33,,,,,Conf. games:,Conf. games:,16,81.1,2.8,1.7,97.6,25.5,44.7,47.3,10.2,13.4,7.9,16.3,2.4,1.8,38.1,48-82,.585,72-172,.419,16-43,.372,,,,,,,,
34,,,,,Top 100 quality games:,Top 100:,17,82.3,2.7,1.3,96.7,24.5,42.8,46.4,8.5,14.3,7.2,15.3,2.2,1.3,36.1,53-83,.639,82-188,.436,11-42,.262,,,,,,,,
35,,,,,Top 50 quality games:,Top 50:,7,83.2,0.5,-2.1,80.0,24.2,37.4,39.3,7.6,15.5,5.3,20.9,0.8,1.4,30.8,14-28,.500,28-72,.389,4-19,.211,,,,,,,,
36,2009,Sr,6-2,Ronald Steele,Alabama,SEC,13,35.6,2.9,4.3,109.4,20.8,46.7,53.0,2.0,9.3,22.4,19.6,0.5,1.8,35.8,42-49,.857,19-55,.345,30-82,.366,,,,,,,,
37,,,,,Conf. games:,Conf. games:,1,5.5,-3.9,-3.9,51.8,17.5,25.0,22.8,3.1,5.8,9.4,26.9,2.9,1.6,20.0,0-2,.000,1-4,.250,1-6,.167,,,,,,,,
38,,,,,Top 100 quality games:,Top 100:,3,15.8,0.6,1.8,88.7,17.0,33.3,34.3,2.9,7.6,20.2,12.1,1.9,1.5,11.1,2-4,.500,3-15,.200,6-21,.286,,,,,,,,
39,,,,,Top 50 quality games:,Top 50:,1,12.5,1.8,4.8,95.5,18.4,35.7,35.7,3.1,0.0,22.5,8.7,0.0,3.2,0.0,0-0,.000,2-6,.333,2-8,.250,,,,,,,,
40,2009,Sr,5-11,Brandon Hollinger,Alabama,SEC,24,20.3,-0.5,-5.1,74.6,16.1,32.3,35.6,1.3,4.5,11.3,25.7,0.0,1.6,16.9,8-11,.727,9-16,.563,8-49,.163,,,,,,,,
41,,,,,Conf. games:,Conf. games:,12,16.9,-0.3,-5.1,80.4,13.1,34.2,41.2,1.0,6.7,13.6,31.3,0.0,0.0,31.6,5-6,.833,2-5,.400,3-14,.214,,,,,,,,
42,,,,,Top 100 quality games:,Top 100:,12,16.7,-0.7,-6.3,65.0,14.4,28.8,32.3,0.0,5.4,12.1,30.3,0.0,1.0,15.4,3-4,.750,3-6,.500,3-20,.150,,,,,,,,
43,,,,,Top 50 quality games:,Top 50:,5,26.1,-0.8,-6.5,68.0,15.8,37.5,41.3,0.0,5.7,9.9,38.9,0.0,0.8,12.5,2-2,1.000,3-4,.750,2-12,.167,,,,,,,,
44,2009,Jr,6-6,Jonathan Belt,Alabama A&M,SWAC,24,53.5,0.1,-6.0,97.4,14.8,50.0,52.3,6.9,13.8,7.2,19.5,0.7,1.0,61.0,35-61,.574,50-97,.515,0-3,.000,,,,,,,,
45,,,,,Conf. games:,Conf. games:,18,53.9,-0.1,-6.3,96.3,15.0,51.4,53.8,6.3,13.7,6.4,21.4,0.9,0.8,75.0,31-54,.574,37-71,.521,0-1,.000,,,,,,,,
46,,,,,Top 100 quality games:,Top 100:,4,53.8,0.3,-6.9,95.0,12.4,40.0,44.4,8.9,13.2,11.8,16.8,0.0,0.7,26.7,3-4,.750,6-14,.429,0-1,.000,,,,,,,,
47,,,,,Top 50 quality games:,Top 50:,1,17.5,-2.1,-29.2,0.0,15.3,0.0,0.0,0.0,17.3,0.0,56.0,0.0,0.0,0.0,0-0,.000,0-1,.000,0-0,.000,,,,,,,,
48,2009,Sr,6-6,John Smith,Alabama A&M,SWAC,24,52.2,0.0,-2.0,93.6,16.4,54.5,51.6,13.2,22.7,4.4,22.1,7.2,1.4,63.6,25-63,.397,54-99,.545,0-0,.000,,,,,,,,
49,,,,,Conf. games:,Conf. games:,18,48.0,-0.2,-2.3,89.7,18.2,54.8,49.9,14.4,24.0,3.8,22.4,6.8,1.7,75.3,19-55,.345,40-73,.548,0-0,.000,,,,,,,,
50,,,,,Top 100 quality games:,Top 100:,4,62.5,2.7,0.8,123.9,12.4,58.8,63.0,11.5,15.1,11.0,14.4,11.1,0.6,35.3,5-6,.833,10-17,.588,0-0,.000,,,,,,,,
51,,,,,Top 50 quality games:,Top 50:,1,80.0,-5.6,-4.9,37.8,10.9,0.0,12.7,9.4,11.4,11.4,34.4,12.5,1.8,66.7,1-2,.500,0-3,.000,0-0,.000,,,,,,,,
52,2009,Sr,6-5,Kudus Ogbara,Alabama A&M,SWAC,19,33.5,-1.3,-8.4,74.5,12.6,41.5,47.5,4.4,14.8,6.2,35.2,4.4,1.0,70.7,18-29,.621,17-38,.447,0-3,.000,,,,,,,,
53,,,,,Conf. games:,Conf. games:,18,41.5,-1.2,-8.3,75.6,12.8,42.1,48.3,4.6,15.3,6.4,35.4,4.3,1.1,76.3,18-29,.621,16-35,.457,0-3,.000,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,2008,Jr,6-5,Kudus Ogbara,Alabama A&M,SWAC,25,38.0,-1.1,-6.7,78.9,11.4,39.0,39.8,5.0,7.7,5.9,23.9,2.6,2.7,19.1,6-13,.462,22-54,.407,3-14,.214,,,,
56,2009,Fr,6-7,Shane Burrell,Alabama A&M,SWAC,12,7.2,-0.1,-4.4,88.8,16.3,66.7,73.0,10.3,9.7,3.1,44.4,0.0,4.0,77.8,6-7,.857,6-9,.667,0-0,.000,,,,,,,,
57,,,,,Conf. games:,Conf. games:,7,3.4,-0.4,-13.0,64.7,13.1,50.0,58.4,4.3,8.6,0.0,49.9,0.0,0.0,150.0,2-3,.667,1-2,.500,0-0,.000,,,,,,,,
58,,,,,Top 100 quality games:,Top 100:,4,21.9,0.6,2.9,101.7,19.1,80.0,87.0,13.7,10.8,8.2,44.5,0.0,6.7,80.0,4-4,1.000,4-5,.800,0-0,.000,,,,,,,,
59,,,,,Top 50 quality games:,Top 50:,1,15.0,-0.4,-8.1,54.1,40.3,0.0,105.3,16.7,40.4,0.0,74.4,0.0,9.8,0.0,2-2,1.000,0-0,.000,0-0,.000,,,,,,,,
60,2009,Sr,6-2,Brandon Brooks,Alabama St.,SWAC,30,89.7,3.2,2.5,110.8,23.2,53.9,59.5,2.7,10.1,35.6,24.3,0.8,2.3,57.6,119-156,.763,113-209,.541,22-62,.355,,,,,,,,
61,,,,,Conf. games:,Conf. games:,18,87.4,3.9,4.2,121.1,23.1,61.6,65.7,3.0,11.1,36.2,23.3,0.6,2.3,58.1,69-90,.767,70-121,.579,17-34,.500,,,,,,,,
62,,,,,Top 100 quality games:,Top 100:,5,93.0,5.3,0.8,108.0,26.9,57.7,61.4,4.0,9.7,36.2,27.1,0.6,1.6,59.6,22-31,.710,24-40,.600,4-12,.333,,,,,,,,
63,,,,,Top 50 quality games:,Top 50:,4,95.0,5.9,2.6,110.6,26.0,66.7,68.5,3.8,12.0,36.2,29.2,0.7,1.5,69.2,19-27,.704,20-29,.690,4-10,.400,,,,,,,,
64,2009,Sr,6-5,Andrew Hayles,Alabama St.,SWAC,30,84.7,1.8,-0.9,103.0,20.5,50.9,53.3,4.2,7.1,8.8,17.7,0.9,1.5,23.4,56-79,.709,76-161,.472,64-177,.362,,,,,,,,
65,,,,,Conf. games:,Conf. games:,18,86.5,1.8,-1.0,108.6,19.2,51.8,54.0,5.3,7.3,9.3,16.7,0.8,1.7,19.4,28-38,.737,46-95,.484,37-101,.366,,,,,,,,
66,,,,,Top 100 quality games:,Top 100:,5,83.0,1.8,-3.5,92.6,21.1,45.7,48.6,1.5,9.4,8.2,20.2,0.6,0.7,17.2,8-10,.800,10-22,.455,11-36,.306,,,,,,,,
67,,,,,Top 50 quality games:,Top 50:,4,81.3,0.4,-5.8,78.5,22.6,37.8,41.7,1.8,10.3,4.8,21.6,0.9,0.9,16.3,7-8,.875,8-20,.400,7-29,.241,,,,,,,,
68,2009,So,6-6,Roland Fitch,Alabama St.,SWAC,30,46.8,1.4,-1.0,104.4,25.1,54.2,55.6,9.0,11.7,6.8,16.9,1.4,1.4,25.6,37-58,.638,117-210,.557,4-17,.235,,,,,,,,
69,,,,,Conf. games:,Conf. games:,18,45.0,1.6,-1.0,108.2,28.1,57.3,58.8,10.7,11.9,6.6,18.0,1.5,0.9,27.1,26-39,.667,78-132,.591,3-12,.250,,,,,,,,
70,,,,,Top 100 quality games:,Top 100:,5,49.0,2.2,2.8,109.9,20.0,59.7,58.7,6.3,11.0,6.7,15.0,2.2,3.0,32.3,5-10,.500,17-29,.586,1-2,.500,,,,,,,,
71,,,,,Top 50 quality games:,Top 50:,4,45.6,0.1,-2.3,80.1,18.7,40.0,42.9,3.2,11.6,5.7,21.1,1.5,4.0,35.0,4-7,.571,8-19,.421,0-1,.000,,,,,,,,
72,2009,Sr,7-1,Chief Kickingstallionsims,Alabama St.,SWAC,30,52.2,1.4,2.5,108.5,19.4,58.8,59.1,7.3,14.6,2.7,16.2,12.8,0.6,46.9,48-83,.578,104-177,.588,0-0,.000,,,,,,,,
73,,,,,Conf. games:,Conf. games:,18,55.0,2.1,4.1,120.1,19.9,62.7,63.0,8.4,15.5,2.6,12.3,12.2,0.6,50.0,36-59,.610,74-118,.627,0-0,.000,,,,,,,,
74,,,,,Top 100 quality games:,Top 100:,5,47.0,1.2,0.2,91.7,24.4,50.0,51.6,9.1,14.0,4.6,23.2,15.8,0.6,23.5,5-8,.625,17-34,.500,0-0,.000,,,,,,,,
75,,,,,Top 50 quality games:,Top 50:,4,49.4,1.0,-1.9,84.2,27.1,45.2,47.4,8.7,10.7,6.1,24.3,15.7,0.7,25.8,5-8,.625,14-31,.452,0-0,.000,,,,,,,,
76,2009,Jr,6-7,Wesley Jones,Alabama St.,SWAC,18,40.3,1.1,-0.6,105.2,18.4,50.0,52.6,7.0,19.3,7.8,16.0,0.4,1.7,23.1,24-33,.727,49-101,.485,15-42,.357,,,,,,,,
77,,,,,Conf. games:,Conf. games:,14,53.5,1.4,-1.4,109.9,18.2,51.8,54.5,7.6,19.5,7.7,16.5,0.3,1.3,22.5,19-25,.760,38-74,.514,13-37,.351,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,2008,Jr,6-7,Wesley Jones,Mississippi,SEC,2,0.2,-0.0,-5.7,82.8,20.0,50.0,50.0,0.0,36.3,0.0,24.4,0.0,0.0,0.0,0-0,.000,1-1,1.000,1-4,.250,,,,
80,2009,Sr,6-7,Rashad Provitt,Alabama St.,SWAC,20,43.5,-0.6,-4.4,83.6,17.1,43.3,45.7,5.1,17.5,8.2,25.9,1.5,1.0,59.6,32-62,.516,27-62,.435,12-42,.286,,,,,,,,
81,,,,,Conf. games:,Conf. games:,8,28.9,-1.2,-4.2,82.1,15.0,38.8,38.7,3.7,18.0,9.6,19.4,1.4,1.5,55.0,8-22,.364,11-24,.458,3-16,.188,,,,,,,,
82,,,,,Top 100 quality games:,Top 100:,5,67.5,0.7,-5.1,90.4,17.0,55.4,57.5,6.4,18.6,6.8,33.5,0.8,0.9,25.0,5-7,.714,8-15,.533,5-13,.385,,,,,,,,
83,,,,,Top 50 quality games:,Top 50:,4,61.3,1.6,-1.4,99.7,17.0,59.5,62.0,8.2,21.0,8.3,31.1,1.1,1.2,23.8,4-5,.800,5-10,.500,5-11,.455,,,,,,,,
84,2009,Fr,6-2,Jerry Stangline,Alabama St.,SWAC,5,1.7,-0.0,-6.8,81.9,29.7,27.8,35.2,12.1,20.9,18.8,20.0,0.0,3.0,22.2,2-2,1.000,1-6,.167,1-3,.333,,,,,,,,
85,,,,,Conf. games:,Conf. games:,5,2.8,0.0,-6.8,83.9,29.8,27.8,35.2,12.8,20.8,17.6,20.3,0.0,3.0,22.2,2-2,1.000,1-6,.167,1-3,.333,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,Date,,Opponent,Result,Mins,ORtg,Usage,eFG,TS%,OR%,DR%,AST%,TO%,Stl%,Blk%,Dunk,Rim,Mid,2Pt,3Pt,FT,Ast,TO,Stl,Blk,OR,DR,PF,GBPM,NET,Pts
88,2009,Fr,-,Alex Tolbert,Alabama St.,SWAC,5,1.2,-0.3,-20.7,56.7,20.0,37.5,33.7,25.9,29.9,0.0,31.9,0.0,4.3,62.5,1-5,.200,3-7,.429,0-1,.000,,,,,,,,
89,,,,,Conf. games:,Conf. games:,5,1.9,-0.3,-20.7,57.6,20.0,37.5,33.7,27.4,29.7,0.0,32.2,0.0,4.3,62.5,1-5,.200,3-7,.429,0-1,.000,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,Date,,Opponent,Result,Mins,ORtg,Usage,eFG,TS%,OR%,DR%,AST%,TO%,Stl%,Blk%,Dunk,Rim,Mid,2Pt,3Pt,FT,Ast,TO,Stl,Blk,OR,DR,PF,GBPM,NET,Pts
92,2009,Fr,6-4,Shedrick Matthews,Alabama St.,SWAC,3,1.2,-0.4,-1.5,77.7,8.5,0.0,0.0,0.0,7.5,33.9,100.0,0.0,4.3,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
93,,,,,Conf. games:,Conf. games:,3,1.9,-0.3,-1.5,81.4,8.7,0.0,0.0,0.0,7.4,32.0,100.0,0.0,4.3,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,Date,,Opponent,Result,Mins,ORtg,Usage,eFG,TS%,OR%,DR%,AST%,TO%,Stl%,Blk%,Dunk,Rim,Mid,2Pt,3Pt,FT,Ast,TO,Stl,Blk,OR,DR,PF,GBPM,NET,Pts
96,2009,Sr,6-5,Jerel Hastings,Albany,AE,31,41.3,1.0,0.8,110.3,16.0,47.6,54.4,9.5,10.2,11.0,17.6,1.0,2.0,60.2,46-62,.742,49-95,.516,0-8,.000,,,,,,,,
97,,,,,Conf. games:,Conf. games:,16,47.3,1.4,1.2,113.9,16.7,53.6,60.0,9.4,10.8,13.2,20.6,0.4,2.0,71.4,30-40,.750,30-53,.566,0-3,.000,,,,,,,,
98,,,,,Top 100 quality games:,Top 100:,5,31.2,1.1,-0.7,115.2,12.2,44.4,54.7,11.9,6.1,6.5,15.2,0.0,1.9,88.9,6-8,.750,4-7,.571,0-2,.000,,,,,,,,
99,,,,,Top 50 quality games:,Top 50:,2,38.8,1.4,4.4,116.4,9.3,33.3,51.3,3.2,5.2,0.0,0.0,0.0,3.9,200.0,4-6,.667,1-2,.500,0-1,.000,,,,,,,,
100,2009,Sr,6-8,Brian Connelly,Albany,AE,31,75.7,0.6,-2.6,99.2,15.1,45.0,48.9,3.8,13.8,7.5,17.0,0.7,0.8,32.1,50-71,.704,98-216,.454,1-5,.200,,,,,,,,
101,,,,,Conf. games:,Conf. games:,16,78.6,0.9,-2.6,104.1,14.1,47.6,51.6,4.0,17.1,8.4,17.3,1.2,0.2,32.1,25-34,.735,49-103,.476,1-3,.333,,,,,,,,
102,,,,,Top 100 quality games:,Top 100:,5,75.6,0.2,-3.1,85.6,15.8,39.5,41.2,3.5,9.2,11.5,19.3,0.0,1.2,31.6,6-12,.500,15-37,.405,0-1,.000,,,,,,,,
103,,,,,Top 50 quality games:,Top 50:,2,67.5,0.4,-1.0,82.4,16.9,37.5,37.5,3.7,8.9,23.8,19.7,0.0,3.4,0.0,0-0,.000,6-16,.375,0-0,.000,,,,,,,,
104,2009,Sr,6-7,Jimmie Covington,Albany,AE,30,28.1,-0.0,-3.9,99.0,10.8,50.0,58.7,10.3,10.9,2.2,30.3,0.7,0.9,103.1,24-33,.727,16-32,.500,0-0,.000,,,,,,,,
105,,,,,Conf. games:,Conf. games:,15,30.3,0.5,-3.1,113.4,10.0,53.8,64.8,10.4,13.1,3.8,25.4,0.6,0.3,176.9,17-23,.739,7-13,.538,0-0,.000,,,,,,,,
106,,,,,Top 100 quality games:,Top 100:,5,20.5,-0.2,-3.4,87.5,8.9,50.0,50.5,7.7,0.0,4.8,31.6,0.0,1.4,50.0,1-2,.500,2-4,.500,0-0,.000,,,,,,,,
107,,,,,Top 50 quality games:,Top 50:,2,26.3,-0.8,-9.5,62.2,12.6,50.0,50.8,4.7,0.0,0.0,45.4,0.0,0.0,100.0,1-2,.500,1-2,.500,0-0,.000,,,,,,,,
108,2009,Jr,6-3,Troy Jackson,Alcorn St.,SWAC,27,88.1,3.0,0.6,105.1,25.7,47.5,53.5,3.3,10.6,20.9,13.4,1.1,3.5,47.9,144-190,.758,142-278,.511,31-119,.261,,,,,,,,
109,,,,,Conf. games:,Conf. games:,17,85.6,3.4,1.5,113.1,23.9,50.0,56.9,2.8,11.1,19.4,11.7,1.4,3.6,56.9,100-128,.781,93-169,.550,13-56,.232,,,,,,,,
110,,,,,Top 100 quality games:,Top 100:,3,87.5,0.5,-5.8,74.8,28.5,34.4,38.9,4.7,12.9,24.5,19.1,0.0,1.5,42.2,11-19,.579,11-30,.367,3-15,.200,,,,,,,,
111,,,,,Top 50 quality games:,Top 50:,2,87.5,1.5,-3.8,79.2,30.2,36.7,42.3,5.9,13.7,19.4,20.2,0.0,1.5,46.7,9-14,.643,8-17,.471,2-13,.154,,,,,,,,
112,2009,Sr,6-3,Anthony Ford,Alcorn St.,SWAC,26,64.3,0.7,-5.4,93.7,21.5,42.3,46.0,5.4,13.4,10.5,12.9,1.0,2.0,19.9,45-56,.804,59-168,.351,40-113,.354,,,,,,,,
113,,,,,Conf. games:,Conf. games:,17,65.9,1.2,-4.7,100.0,21.9,47.3,50.5,6.2,13.7,9.9,14.1,0.8,2.2,21.9,31-40,.775,46-103,.447,27-80,.338,,,,,,,,
114,,,,,Top 100 quality games:,Top 100:,3,60.0,-0.5,-9.2,70.9,22.1,28.8,32.5,2.3,14.5,7.5,6.5,1.1,0.7,15.2,4-5,.800,5-22,.227,3-11,.273,,,,,,,,
115,,,,,Top 50 quality games:,Top 50:,2,53.8,1.1,-7.7,82.7,27.6,34.0,37.8,3.8,5.0,0.0,4.5,0.0,1.2,12.0,3-3,1.000,4-16,.250,3-9,.333,,,,,,,,
116,2009,Sr,6-7,Jarvis Williams,Alcorn St.,SWAC,28,65.3,0.2,-8.8,89.0,21.2,42.5,47.0,5.1,9.6,7.9,17.9,1.0,1.4,29.2,56-74,.757,79-199,.397,19-54,.352,,,,,,,,
117,,,,,Conf. games:,Conf. games:,18,65.1,0.3,-9.4,90.7,21.7,40.5,47.2,5.4,10.8,7.2,17.5,0.6,1.1,40.5,50-64,.781,43-120,.358,14-38,.368,,,,,,,,
118,,,,,Top 100 quality games:,Top 100:,3,62.5,0.5,-8.0,84.3,19.0,46.0,48.2,1.1,5.6,15.2,21.9,0.0,1.4,8.0,2-2,1.000,7-16,.438,3-9,.333,,,,,,,,
119,,,,,Top 50 quality games:,Top 50:,2,58.8,-1.4,-11.7,63.8,17.3,28.6,33.4,1.8,4.5,6.0,19.7,0.0,1.1,14.3,2-2,1.000,4-11,.364,0-3,.000,,,,,,,,
120,2009,Jr,6-2,Antonio Jones,Alcorn St.,SWAC,20,18.8,-0.3,-7.6,87.0,13.6,48.6,53.3,2.9,7.0,8.0,29.4,0.0,2.7,40.5,11-15,.733,6-18,.333,8-19,.421,,,,,,,,
121,,,,,Conf. games:,Conf. games:,14,24.2,-0.3,-8.2,91.1,12.9,53.6,57.1,2.5,9.0,8.3,30.1,0.0,2.1,46.4,9-13,.692,6-13,.462,6-15,.400,,,,,,,,
122,,,,,Top 100 quality games:,Top 100:,2,10.0,-0.2,0.9,64.9,22.6,30.0,30.0,6.8,0.0,20.8,19.2,0.0,8.6,0.0,0-0,.000,0-4,.000,1-1,1.000,,,,,,,,
123,,,,,Top 50 quality games:,Top 50:,1,8.8,0.2,-7.2,76.2,25.5,50.0,50.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0-0,.000,0-2,.000,1-1,1.000,,,,,,,,
124,2009,Sr,6-4,Jumane Reed,Alcorn St.,SWAC,28,56.9,-0.9,-6.4,79.9,16.1,41.0,45.3,3.2,10.9,20.5,31.0,0.0,3.2,59.5,38-66,.576,32-81,.395,9-30,.300,,,,,,,,
125,,,,,Conf. games:,Conf. games:,18,54.1,-0.6,-5.8,87.8,15.4,47.7,48.8,3.4,13.0,21.5,28.8,0.0,3.3,58.5,19-38,.500,25-55,.455,4-10,.400,,,,,,,,
