,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2009,Sr,6-3,Tim Green,Texas A&M Corpus Chris,Slnd,30,54.9,1.0,0.7,96.9,20.5,48.6,49.7,3.3,7.7,13.8,18.6,0.2,3.2,38.2,43-81,.531,55-122,.451,32-90,.356,,,,,,,,
1,,,,,Conf. games:,Conf. games:,16,57.7,1.6,3.4,105.2,20.5,54.6,54.7,3.3,7.8,14.9,19.0,0.0,4.3,37.0,23-44,.523,32-60,.533,22-59,.373,,,,,,,,
2,,,,,Top 100 quality games:,Top 100:,6,41.7,-0.7,-7.6,62.3,26.2,35.1,34.4,3.1,8.4,11.3,24.8,0.0,1.8,37.8,4-14,.286,10-27,.370,2-10,.200,,,,,,,,
3,,,,,Top 50 quality games:,Top 50:,5,42.0,-1.0,-9.9,56.7,28.0,33.3,33.2,2.5,7.2,10.1,28.0,0.0,1.4,43.3,4-13,.308,7-21,.333,2-9,.222,,,,,,,,
4,2009,So,6-1,Kevin Perkins,Texas A&M Corpus Chris,Slnd,3,2.8,-1.6,-9.1,43.2,14.6,40.0,40.0,0.0,3.4,5.7,57.8,0.0,1.7,0.0,0-0,.000,2-4,.500,0-1,.000,,,,,,,,
5,,,,,Top 100 quality games:,Top 100:,3,14.2,-1.7,-9.1,42.1,15.1,40.0,40.0,0.0,3.5,7.1,57.3,0.0,1.7,0.0,0-0,.000,2-4,.500,0-1,.000,,,,,,,,
6,,,,,Top 50 quality games:,Top 50:,3,17.0,-1.6,-9.1,41.9,15.5,40.0,40.0,0.0,3.5,7.3,56.7,0.0,1.8,0.0,0-0,.000,2-4,.500,0-1,.000,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2009,Sr,6-5,Anwar Johnson,Air Force,MWC,29,82.7,2.7,-0.5,101.8,23.9,47.7,54.5,5.0,10.0,20.1,18.3,0.5,1.8,69.5,117-164,.713,108-228,.474,3-8,.375,,,,,,,,
9,,,,,Conf. games:,Conf. games:,16,80.8,1.5,-2.0,91.5,21.6,38.4,46.8,4.7,11.9,21.9,18.4,0.6,1.9,66.7,50-72,.694,40-105,.381,1-3,.333,,,,,,,,
10,,,,,Top 100 quality games:,Top 100:,12,80.6,2.3,-0.3,94.5,22.1,40.8,49.6,3.0,12.5,21.5,17.4,0.8,1.4,72.4,45-63,.714,34-85,.400,1-2,.500,,,,,,,,
11,,,,,Top 50 quality games:,Top 50:,7,75.7,4.1,3.6,107.6,24.2,49.1,55.6,3.8,9.6,24.1,14.0,1.3,2.2,76.8,30-43,.698,26-54,.481,1-2,.500,,,,,,,,
12,2009,Sr,6-6,Andrew Henke,Air Force,MWC,29,78.0,2.7,2.5,101.3,25.1,55.8,59.0,1.9,16.2,22.1,21.7,1.7,1.8,32.8,68-90,.756,57-119,.479,64-155,.413,,,,,,,,
13,,,,,Conf. games:,Conf. games:,16,78.8,2.5,1.7,93.8,27.5,52.3,54.7,1.6,16.6,22.1,19.7,2.0,1.8,24.4,30-42,.714,39-79,.494,34-93,.366,,,,,,,,
14,,,,,Top 100 quality games:,Top 100:,12,76.0,1.4,-1.2,83.9,26.5,46.1,48.9,1.8,15.6,24.1,23.7,1.3,1.3,25.2,20-29,.690,26-57,.456,18-58,.310,,,,,,,,
15,,,,,Top 50 quality games:,Top 50:,7,72.5,1.1,-4.1,80.5,27.9,47.7,48.9,1.3,15.1,28.1,28.8,0.0,1.0,21.2,8-14,.571,15-34,.441,11-32,.344,,,,,,,,
16,2009,Sr,6-6,Matt Holland,Air Force,MWC,29,74.1,2.2,3.9,107.5,18.3,60.2,62.2,3.1,12.3,10.6,18.7,2.3,2.6,16.4,30-36,.833,38-64,.594,63-156,.404,,,,,,,,
17,,,,,Conf. games:,Conf. games:,16,76.7,2.4,4.1,103.3,19.0,58.7,60.2,3.3,13.5,7.6,16.1,3.7,2.4,12.1,13-16,.813,19-32,.594,39-100,.390,,,,,,,,
18,,,,,Top 100 quality games:,Top 100:,12,71.3,2.7,4.4,105.8,17.8,61.2,62.0,3.1,12.2,7.9,16.6,0.9,2.0,4.3,4-4,1.000,20-31,.645,25-63,.397,,,,,,,,
19,,,,,Top 50 quality games:,Top 50:,7,72.5,2.4,3.5,105.8,16.1,61.2,62.9,2.6,12.2,7.1,19.9,0.0,2.3,8.2,4-4,1.000,9-16,.563,14-33,.424,,,,,,,,
20,2009,Fr,6-3,Jon Atkins,Air Force,MWC,10,5.7,-0.1,0.5,78.4,20.2,45.8,43.0,4.3,26.3,18.1,25.0,0.0,2.0,75.0,3-9,.333,1-6,.167,3-6,.500,,,,,,,,
