,Yr,Cls,Ht,Player,Team,Conf.,G,Min%,PRPG!,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FT_raw,FT_pct,2P_raw,2P_pct,3P_raw,3P_pct,shit,shit,shit,shit
0,2018,Sr,6-5,Joseph Kilgore,Texas A&M Corpus Chris,Slnd,26,88.1,2.7,100.3,30.0,45.2,51.2,3.5,15.6,22.4,16.4,2.2,2.9,37.9,126-157,.803,133-314,.424,36-100,.360,,,,
1,Conf. games:,Conf. games:,18,88.8,2.7,101.2,30.1,44.9,51.1,3.9,14.2,26.1,17.0,2.4,2.8,40.8,91-115,.791,89-213,.418,25-69,.362,,,,,,,,
2,Top 100 quality games:,Top 100:,3,84.2,2.3,92.1,28.2,44.9,47.7,1.1,23.2,12.3,14.9,1.5,2.4,10.2,5-5,1.000,13-33,.394,6-16,.375,,,,,,,,
3,,,,,Top 50 quality games:,Top 50:,2,83.8,2.9,94.0,27.9,45.0,49.4,0.0,29.9,11.7,16.3,2.1,2.7,16.7,5-5,1.000,9-19,.474,3-11,.273,,,,
4,2018,Fr,6-7,Sean Rhea,Texas A&M Corpus Chris,Slnd,24,62.5,0.2,90.7,21.6,50.0,52.0,8.7,16.2,4.0,22.9,4.0,1.4,58.9,58-103,.563,83-167,.497,3-8,.375,,,,
5,Conf. games:,Conf. games:,16,61.0,0.9,100.1,21.4,54.5,56.7,9.4,18.4,4.1,21.1,4.4,1.0,55.7,42-68,.618,62-115,.539,3-7,.429,,,,,,,,
6,Top 100 quality games:,Top 100:,3,60.8,-0.6,73.0,23.4,36.4,38.1,11.1,3.8,2.8,21.3,2.1,3.3,40.9,4-9,.444,8-22,.364,0-0,.000,,,,,,,,
7,,,,,Top 50 quality games:,Top 50:,2,68.8,-0.8,69.3,24.5,31.6,32.7,12.6,2.4,4.0,18.1,2.5,3.3,26.3,2-5,.400,6-19,.316,0-0,.000,,,,
8,2018,Fr,6-7,Deion Rhea,Texas A&M Corpus Chris,Slnd,11,17.4,0.0,89.1,21.4,48.2,52.3,4.6,15.5,4.8,24.7,5.5,1.3,34.5,14-19,.737,16-33,.485,7-22,.318,,,,
9,Conf. games:,Conf. games:,11,25.2,0.0,89.5,21.3,48.2,52.3,4.5,14.6,4.7,24.9,5.3,1.3,34.5,14-19,.737,16-33,.485,7-22,.318,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,Total:,14-19,.737,16-33,.485,7-22,.318,,,,,,,,,,,,,,,,,,,
12,2018,So,6-8,Perry Francois,Texas A&M Corpus Chris,Slnd,26,29.8,-0.3,84.0,17.5,47.8,48.1,12.2,17.0,9.3,31.2,6.1,0.4,14.9,5-10,.500,32-67,.478,0-0,.000,,,,
13,Conf. games:,Conf. games:,18,28.4,-0.9,71.2,16.9,34.2,35.9,15.0,14.1,7.4,34.4,5.9,0.3,21.1,4-8,.500,13-38,.342,0-0,.000,,,,,,,,
