,Yr,Cls,Ht,Player,Team,Conf.,G,Min%,PRPG!,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FT_raw,FT_pct,2P_raw,2P_pct,3P_raw,3P_pct,shit,shit,shit,shit
14,Top 100 quality games:,Top 100:,3,36.7,2.0,122.4,17.8,76.9,76.9,10.5,15.7,6.2,23.2,10.2,0.0,0.0,0-0,.000,10-13,.769,0-0,.000,,,,,,,,
15,,,,,Top 50 quality games:,Top 50:,2,26.3,1.1,110.9,17.5,80.0,80.0,11.0,25.4,0.0,33.2,13.1,0.0,0.0,0-0,.000,4-5,.800,0-0,.000,,,,
16,2018,Sr,6-4,David Bloom,Texas A&M Corpus Chris,Slnd,18,12.8,-0.6,79.1,9.9,19.2,35.7,1.8,5.3,14.4,25.8,1.9,0.9,84.6,8-11,.727,1-5,.200,1-8,.125,,,,
17,Conf. games:,Conf. games:,15,16.6,-0.9,68.9,10.1,12.5,29.9,1.0,5.6,14.4,28.1,1.0,1.0,83.3,7-10,.700,0-4,.000,1-8,.125,,,,,,,,
18,Top 100 quality games:,Top 100:,1,1.7,4.8,203.5,77.4,100.0,101.7,0.0,0.0,545.5,0.0,0.0,0.0,100.0,1-1,1.000,1-1,1.000,0-0,.000,,,,,,,,
19,,,,,Top 50 quality games:,Top 50:,1,2.5,-1.5,202.3,110.9,100.0,101.7,0.0,0.0,800.0,0.0,0.0,0.0,100.0,1-1,1.000,1-1,1.000,0-0,.000,,,,
20,2018,Fr,6-8,York Benjamin,Texas A&M Corpus Chris,Slnd,12,11.8,-1.2,52.1,20.6,35.3,44.7,8.6,13.3,6.0,55.7,2.0,1.4,52.9,7-9,.778,6-16,.375,0-1,.000,,,,
21,Conf. games:,Conf. games:,5,6.3,-1.4,43.7,19.7,50.0,46.3,5.2,14.5,8.3,62.7,5.3,1.2,16.7,0-1,.000,3-6,.500,0-0,.000,,,,,,,,
22,Top 100 quality games:,Top 100:,3,25.0,-1.8,33.6,19.6,40.0,40.0,0.0,4.6,0.0,61.6,0.0,2.0,0.0,0-0,.000,2-5,.400,0-0,.000,,,,,,,,
23,,,,,Top 50 quality games:,Top 50:,2,25.0,-2.1,25.6,17.5,100.0,100.0,0.0,6.7,0.0,87.2,0.0,3.0,0.0,0-0,.000,1-1,1.000,0-0,.000,,,,
24,2018,So,6-1,Colin Hale,Texas A&M Corpus Chris,Slnd,26,38.0,-1.3,71.4,13.4,40.1,40.2,2.7,10.3,12.0,32.9,0.3,1.7,7.0,2-5,.400,18-41,.439,7-30,.233,,,,
25,Conf. games:,Conf. games:,18,41.0,-1.7,67.3,13.2,36.0,36.0,2.8,10.9,13.9,34.8,0.4,1.9,6.0,1-3,.333,12-28,.429,4-22,.182,,,,,,,,
26,Top 100 quality games:,Top 100:,3,27.5,-0.5,81.1,11.3,50.0,50.0,0.0,4.2,11.4,32.5,0.0,0.0,0.0,0-0,.000,1-3,.333,1-2,.500,,,,,,,,
27,,,,,Top 50 quality games:,Top 50:,2,18.8,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
28,2018,Fr,6-6,Jamell Bradley,Texas A&M Corpus Chris,Slnd,12,3.5,-0.3,64.0,14.7,14.3,28.1,6.4,19.1,4.9,21.0,0.0,1.5,57.1,3-4,.750,1-5,.200,0-2,.000,,,,
29,Conf. games:,Conf. games:,5,2.1,-0.1,84.4,12.9,0.0,25.3,7.9,7.4,11.3,0.0,0.0,0.0,66.7,2-2,1.000,0-2,.000,0-1,.000,,,,,,,,
30,Top 100 quality games:,Top 100:,3,9.2,-0.8,27.6,8.9,0.0,0.0,10.5,0.0,0.0,0.0,0.0,5.5,0.0,0-0,.000,0-1,.000,0-1,.000,,,,,,,,
31,,,,,Top 50 quality games:,Top 50:,2,13.8,-1.2,26.5,9.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,5.5,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
32,2018,Sr,5-11,Tevin Foster,Abilene Christian,Slnd,28,82.9,1.4,99.8,21.9,49.6,55.7,2.5,8.9,19.1,23.2,0.5,2.5,44.0,94-117,.803,66-132,.500,44-134,.328,,,,
33,Conf. games:,Conf. games:,18,85.0,1.4,99.1,22.4,47.6,55.0,2.9,6.9,21.3,24.3,0.4,2.1,49.4,69-84,.821,36-80,.450,30-90,.333,,,,,,,,
34,Top 100 quality games:,Top 100:,2,72.5,-3.0,54.5,17.1,29.2,34.7,1.9,8.6,7.7,35.7,0.0,2.0,16.7,2-2,1.000,2-6,.333,1-6,.167,,,,,,,,
35,,,,,Top 50 quality games:,Top 50:,1,80.0,0.7,85.5,17.4,38.9,45.2,0.0,7.4,0.0,10.8,0.0,1.8,22.2,2-2,1.000,2-4,.500,1-5,.200,,,,
36,2018,Jr,6-7,Hayden Howell,Abilene Christian,Slnd,28,24.4,0.2,95.1,19.7,53.2,55.1,7.2,14.0,3.7,21.8,1.3,1.0,34.6,17-27,.630,37-67,.552,3-11,.273,,,,
37,Conf. games:,Conf. games:,18,22.4,0.1,99.2,16.8,52.9,55.6,7.3,16.1,1.2,18.8,2.2,1.4,73.5,15-25,.600,15-29,.517,2-5,.400,,,,,,,,
38,Top 100 quality games:,Top 100:,2,30.0,1.3,107.6,20.5,68.8,70.8,0.0,10.4,14.3,23.9,0.0,2.4,12.5,1-1,1.000,4-6,.667,1-2,.500,,,,,,,,
39,,,,,Top 50 quality games:,Top 50:,1,40.0,1.5,89.8,29.8,57.1,60.2,0.0,14.7,0.0,25.2,0.0,3.7,14.3,1-1,1.000,4-6,.667,0-1,.000,,,,
40,2018,Sr,6-1,Isaiah Tripp,Abilene Christian,Slnd,23,22.6,-0.3,90.5,13.9,44.1,44.3,1.4,6.6,11.9,15.9,0.0,2.2,15.3,4-9,.444,8-25,.320,12-34,.353,,,,
41,Conf. games:,Conf. games:,14,14.6,-0.7,67.8,14.0,36.4,33.5,2.2,6.7,10.0,23.0,0.0,2.7,18.2,0-4,.000,2-11,.182,4-11,.364,,,,,,,,
42,Top 100 quality games:,Top 100:,2,22.5,0.9,100.7,24.2,92.9,92.9,0.0,27.8,25.0,40.5,0.0,0.0,0.0,0-0,.000,2-3,.667,3-4,.750,,,,,,,,
43,,,,,Top 50 quality games:,Top 50:,1,20.0,1.5,120.1,23.0,62.5,62.5,0.0,29.4,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-2,.500,1-2,.500,,,,
44,2018,Sr,6-3,Drake Green,Abilene Christian,Slnd,28,40.3,-0.3,94.8,12.7,52.1,53.3,0.8,7.7,7.5,21.6,0.5,1.2,7.2,6-7,.857,13-23,.565,25-74,.338,,,,
45,Conf. games:,Conf. games:,18,42.8,0.1,102.7,12.8,57.9,59.3,0.4,7.7,5.5,20.0,0.4,1.7,10.0,6-7,.857,12-17,.706,19-53,.358,,,,,,,,
46,Top 100 quality games:,Top 100:,2,33.8,0.4,88.8,18.2,44.4,44.4,0.0,9.3,19.0,11.9,0.0,0.0,0.0,0-0,.000,1-3,.333,2-6,.333,,,,,,,,
47,,,,,Top 50 quality games:,Top 50:,1,37.5,-0.5,64.2,26.8,35.7,35.7,0.0,7.8,0.0,14.9,0.0,0.0,0.0,0-0,.000,1-3,.333,1-4,.250,,,,
48,2018,Sr,6-3,Trevor Lyons,Air Force,MWC,29,82.7,1.3,99.3,18.7,47.0,51.8,2.0,15.8,21.1,19.8,0.1,2.6,39.7,69-94,.734,62-152,.408,33-85,.388,,,,
49,Conf. games:,Conf. games:,18,82.2,1.2,96.3,19.4,42.7,48.1,2.1,15.3,22.2,18.8,0.2,2.5,37.1,42-56,.750,36-94,.383,19-57,.333,,,,,,,,
50,Top 100 quality games:,Top 100:,11,82.7,-0.4,81.5,18.9,35.6,40.7,1.9,15.5,20.4,21.0,0.0,2.9,33.3,20-29,.690,16-56,.286,10-31,.323,,,,,,,,
51,,,,,Top 50 quality games:,Top 50:,2,81.3,-5.5,40.4,13.0,12.5,12.5,1.6,20.5,15.9,22.5,0.0,2.9,0.0,0-0,.000,0-6,.000,1-6,.167,,,,
52,2018,Sr,6-7,Frank Toohey,Air Force,MWC,29,34.5,1.0,105.7,20.3,46.0,54.7,9.8,12.5,12.2,19.0,2.6,1.8,55.6,46-55,.836,26-64,.406,13-35,.371,,,,
53,Conf. games:,Conf. games:,18,24.0,0.6,104.8,19.4,46.1,55.1,11.0,11.5,7.0,19.6,3.6,1.0,65.8,20-25,.800,10-25,.400,5-13,.385,,,,,,,,
54,Top 100 quality games:,Top 100:,11,31.2,0.6,99.6,18.6,51.6,55.7,9.9,13.3,6.4,21.1,3.7,0.9,37.5,9-12,.750,9-20,.450,5-12,.417,,,,,,,,
55,,,,,Top 50 quality games:,Top 50:,2,28.8,-2.8,17.7,13.5,0.0,0.0,9.2,6.4,0.0,61.3,0.0,0.0,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
56,2018,Sr,6-6,Ryan Manning,Air Force,MWC,26,35.5,0.8,99.4,21.5,48.6,51.9,6.2,17.4,8.3,15.4,1.6,1.4,25.9,27-36,.750,24-45,.533,29-94,.309,,,,
57,Conf. games:,Conf. games:,15,19.3,-0.4,78.5,15.3,41.0,41.3,1.6,16.1,1.5,14.1,0.9,1.3,5.1,1-2,.500,4-8,.500,8-31,.258,,,,,,,,
58,Top 100 quality games:,Top 100:,10,28.3,0.3,91.1,19.6,48.8,47.8,2.7,22.1,11.2,12.3,1.0,0.5,4.7,0-2,.000,6-13,.462,10-30,.333,,,,,,,,
59,,,,,Top 50 quality games:,Top 50:,2,20.0,-0.1,81.8,15.1,40.0,40.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0-0,.000,2-3,.667,0-2,.000,,,,
60,2018,Sr,6-1,Jacob Van,Air Force,MWC,29,40.0,0.5,96.7,19.3,44.9,53.6,1.0,8.1,13.9,21.8,0.6,1.7,45.8,48-54,.889,17-50,.340,24-68,.353,,,,
61,Conf. games:,Conf. games:,18,40.3,0.9,103.1,18.7,49.3,55.8,1.2,9.0,15.0,18.7,0.0,2.1,38.7,25-29,.862,10-27,.370,18-48,.375,,,,,,,,
62,Top 100 quality games:,Top 100:,11,39.3,0.3,89.6,18.9,41.5,45.9,0.7,3.0,11.5,12.8,0.7,1.7,18.9,9-10,.900,10-25,.400,8-28,.286,,,,,,,,
63,,,,,Top 50 quality games:,Top 50:,2,25.0,-3.2,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0-0,.000,0-0,.000,0-3,.000,,,,
64,2018,Jr,6-9,Dane Norman,Air Force,MWC,19,10.1,0.1,94.9,18.9,57.1,58.0,7.6,19.2,7.4,26.6,1.1,0.0,35.7,6-10,.600,7-11,.636,6-17,.353,,,,
65,Conf. games:,Conf. games:,9,4.3,-0.3,61.3,24.1,31.3,35.4,7.2,32.1,6.3,32.0,4.0,0.0,50.0,2-4,.500,1-4,.250,1-4,.250,,,,,,,,
66,Top 100 quality games:,Top 100:,6,7.0,-0.2,73.1,19.3,43.8,43.8,3.7,21.4,14.2,30.4,4.1,0.0,0.0,0-0,.000,2-5,.400,1-3,.333,,,,,,,,
67,,,,,Top 50 quality games:,Top 50:,2,8.8,-1.1,0.0,29.5,0.0,0.0,0.0,63.5,0.0,30.9,21.6,0.0,0.0,0-0,.000,0-2,.000,0-1,.000,,,,
68,2018,Sr,6-3,CJ Siples,Air Force,MWC,28,35.3,-0.2,86.0,16.9,43.8,44.8,2.2,9.2,20.4,24.0,1.6,3.9,14.6,8-14,.571,27-47,.574,10-49,.204,,,,
69,Conf. games:,Conf. games:,18,42.4,0.2,93.4,16.9,46.6,47.7,2.2,8.2,19.8,19.8,2.0,4.3,19.2,8-14,.571,22-39,.564,8-34,.235,,,,,,,,
70,Top 100 quality games:,Top 100:,11,44.7,0.2,87.4,19.0,46.4,47.1,1.7,8.0,20.6,20.8,3.2,5.1,9.1,3-5,.600,15-25,.600,7-30,.233,,,,,,,,
71,,,,,Top 50 quality games:,Top 50:,2,48.8,-0.1,85.6,14.9,43.8,43.8,2.7,15.2,24.2,22.0,0.0,4.8,0.0,0-0,.000,2-5,.400,1-3,.333,,,,
72,2018,So,6-8,Jonathan DeWane,Air Force,MWC,19,7.6,0.5,112.9,21.3,51.8,54.9,8.9,18.6,13.6,9.5,4.4,0.7,42.9,8-12,.667,10-23,.435,3-5,.600,,,,
73,Conf. games:,Conf. games:,15,10.0,0.6,116.2,22.5,54.3,57.7,9.3,19.0,16.3,11.1,1.7,0.8,43.5,7-10,.700,8-18,.444,3-5,.600,,,,,,,,
74,Top 100 quality games:,Top 100:,9,9.9,0.9,119.3,28.4,60.5,62.7,15.6,12.0,14.1,9.7,2.9,1.4,36.8,5-7,.714,7-15,.467,3-4,.750,,,,,,,,
75,,,,,Top 50 quality games:,Top 50:,2,21.3,2.7,152.1,26.1,78.6,78.7,12.4,17.4,22.2,0.0,8.9,3.7,57.1,3-4,.750,1-4,.250,3-3,1.000,,,,
76,2018,Fr,6-6,Eric Parrish,Akron,MAC,31,66.7,1.5,109.5,17.2,57.1,58.4,7.1,13.2,10.1,18.1,0.7,2.7,31.4,41-64,.641,82-134,.612,23-70,.329,,,,
77,Conf. games:,Conf. games:,18,64.2,1.9,112.1,18.3,57.5,59.5,7.6,12.8,9.6,17.0,1.1,2.4,25.4,23-32,.719,53-88,.602,13-38,.342,,,,,,,,
78,Top 100 quality games:,Top 100:,6,67.9,0.9,100.3,16.8,50.0,50.2,6.9,12.6,14.0,16.5,0.0,2.4,18.6,4-8,.500,14-27,.519,5-16,.313,,,,,,,,
79,,,,,Top 50 quality games:,Top 50:,1,82.5,2.4,100.8,21.1,44.4,52.8,10.7,4.3,29.4,16.5,0.0,1.7,33.3,3-3,1.000,1-2,.500,2-7,.286,,,,
80,2018,Sr,6-2,Malcolm Duvivier,Akron,MAC,31,80.9,1.1,92.5,25.7,48.5,50.0,1.1,8.5,19.9,21.0,0.7,1.5,18.9,48-75,.640,72-174,.414,80-222,.360,,,,
81,Conf. games:,Conf. games:,18,77.8,1.7,96.8,26.3,47.0,50.1,1.2,8.9,18.5,16.7,1.1,1.4,20.7,38-49,.776,50-113,.442,41-124,.331,,,,,,,,
82,Top 100 quality games:,Top 100:,6,75.4,-0.2,78.3,27.5,41.8,42.0,1.9,7.1,21.8,22.7,0.0,2.2,11.4,4-9,.444,15-37,.405,12-42,.286,,,,,,,,
83,,,,,Top 50 quality games:,Top 50:,1,60.0,-2.9,47.2,28.3,31.3,33.5,0.0,11.9,13.2,33.8,0.0,0.0,25.0,1-2,.500,1-4,.250,1-4,.250,,,,
84,2018,Fr,6-4,Torrey Patton,Akron,MAC,31,39.5,0.4,107.0,12.5,53.4,55.9,8.2,14.7,6.1,19.6,0.2,1.6,54.1,25-40,.625,35-60,.583,3-14,.214,,,,
85,Conf. games:,Conf. games:,18,43.4,0.4,108.0,11.4,54.9,56.9,8.3,15.5,5.9,21.0,0.0,1.5,51.2,13-21,.619,21-36,.583,1-5,.200,,,,,,,,
86,Top 100 quality games:,Top 100:,6,39.6,-1.0,79.0,10.7,28.6,39.4,7.1,13.5,7.9,27.8,0.0,2.4,171.4,6-12,.500,2-5,.400,0-2,.000,,,,,,,,
87,,,,,Top 50 quality games:,Top 50:,1,12.5,0.5,108.9,20.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2-2,1.000,0-1,.000,0-0,.000,,,,
88,2018,Jr,6-5,Lucas Smith,Akron,MAC,24,22.2,-0.5,86.4,10.9,30.0,36.1,7.9,17.7,5.0,17.2,0.4,0.8,37.5,10-15,.667,6-17,.353,4-23,.174,,,,
89,Conf. games:,Conf. games:,16,36.3,-0.4,93.0,10.1,33.3,39.9,7.8,17.6,5.3,17.3,0.5,0.9,45.5,10-15,.667,5-14,.357,4-19,.211,,,,,,,,
90,Top 100 quality games:,Top 100:,5,11.7,-1.5,15.0,6.8,0.0,0.0,4.0,13.8,0.0,29.6,0.0,0.0,0.0,0-0,.000,0-0,.000,0-3,.000,,,,,,,,
91,,,,,Top 50 quality games:,Top 50:,1,7.5,-0.9,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
92,2018,Sr,6-4,Craig Eubanks,Akron,MAC,5,1.8,-0.5,67.1,11.2,50.0,50.0,0.0,26.9,7.7,44.7,0.0,0.0,0.0,0-0,.000,0-0,.000,1-3,.333,,,,
93,Top 100 quality games:,Top 100:,2,2.5,-0.9,0.0,9.4,0.0,0.0,0.0,42.8,0.0,100.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
94,Top 50 quality games:,Top 50:,1,7.5,-0.9,0.0,19.1,0.0,0.0,0.0,95.2,0.0,100.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2018,Fr,6-1,Sina Gbadebo,Akron,MAC,16,4.9,-0.3,69.6,12.1,35.7,33.4,5.7,8.1,14.2,39.3,0.0,0.0,14.3,0-1,.000,1-2,.500,1-5,.200,,,,
97,Conf. games:,Conf. games:,12,7.3,-0.4,68.2,12.2,35.7,33.4,2.1,6.9,16.4,35.7,0.0,0.0,14.3,0-1,.000,1-2,.500,1-5,.200,,,,,,,,
98,Top 100 quality games:,Top 100:,5,4.6,-0.5,26.1,10.0,0.0,0.0,10.2,0.0,0.0,51.3,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2018,Fr,6-3,Collin Sexton,Alabama,SEC,33,68.6,4.8,109.6,32.5,49.8,56.7,4.0,9.7,27.8,16.2,0.3,1.6,57.5,196-252,.778,152-307,.495,44-131,.336,,,,
101,Conf. games:,Conf. games:,16,64.4,3.9,102.1,33.2,43.8,51.3,3.5,10.4,31.1,16.1,0.7,1.6,53.8,86-112,.768,67-142,.472,16-66,.242,,,,,,,,
102,Top 100 quality games:,Top 100:,26,69.1,4.3,104.7,32.7,47.5,54.6,3.8,10.5,27.7,17.5,0.4,1.4,53.1,142-181,.785,114-238,.479,32-103,.311,,,,,,,,
103,,,,,Top 50 quality games:,Top 50:,14,78.9,6.1,112.3,33.5,52.8,59.8,3.9,10.6,29.9,17.1,0.5,0.8,56.9,91-112,.813,74-138,.536,20-59,.339,,,,
104,2018,Sr,6-2,Marcus Merriweather,Alabama A&M,SWAC,29,39.5,0.4,96.4,20.2,45.5,52.3,1.6,7.0,13.1,21.1,0.0,0.6,32.2,43-47,.915,26-63,.413,27-83,.325,,,,
105,Conf. games:,Conf. games:,16,37.0,0.1,94.7,20.7,43.5,49.3,2.1,7.7,10.1,19.4,0.0,0.7,30.6,22-26,.846,16-38,.421,14-47,.298,,,,,,,,
106,Top 100 quality games:,Top 100:,6,50.0,0.9,93.4,20.5,42.5,48.6,0.9,7.1,13.7,16.4,0.0,0.0,22.5,9-9,1.000,5-15,.333,8-25,.320,,,,,,,,
107,,,,,Top 50 quality games:,Top 50:,2,40.0,3.2,126.6,22.0,58.3,66.1,0.0,9.3,8.5,7.7,0.0,0.0,41.7,5-5,1.000,1-5,.200,4-7,.571,,,,
108,2018,So,6-4,Tracey Burnett,Alabama A&M,SWAC,25,24.5,-0.3,83.8,20.3,42.2,43.1,7.7,12.0,5.7,17.9,1.6,0.2,14.7,8-15,.533,43-101,.426,0-1,.000,,,,
109,Conf. games:,Conf. games:,16,32.7,-0.0,90.7,21.5,45.2,46.1,7.6,13.1,6.4,16.4,2.0,0.0,17.9,8-15,.533,38-84,.452,0-0,.000,,,,,,,,
110,Top 100 quality games:,Top 100:,4,10.0,-0.0,84.8,17.1,50.0,50.0,8.8,0.0,10.2,28.1,0.0,0.0,0.0,0-0,.000,3-6,.500,0-0,.000,,,,,,,,
111,,,,,Top 50 quality games:,Top 50:,1,11.3,-1.3,38.6,26.8,33.3,33.3,0.0,0.0,0.0,45.3,0.0,0.0,0.0,0-0,.000,1-3,.333,0-0,.000,,,,
112,2018,So,6-0,De'Ederick Petty,Alabama A&M,SWAC,29,56.6,-0.4,81.7,24.4,38.5,46.2,0.9,9.2,16.0,26.1,0.4,1.5,46.2,79-102,.775,55-125,.440,20-96,.208,,,,
113,Conf. games:,Conf. games:,16,49.0,-0.8,79.8,22.9,33.5,42.3,0.9,9.7,16.2,25.0,0.5,1.7,50.5,39-52,.750,24-60,.400,7-43,.163,,,,,,,,
114,Top 100 quality games:,Top 100:,6,64.6,-0.3,76.0,23.7,46.8,50.3,1.4,9.2,12.4,32.9,0.0,0.7,25.5,9-12,.750,10-24,.417,8-23,.348,,,,,,,,
115,,,,,Top 50 quality games:,Top 50:,2,70.0,-2.3,56.7,20.5,37.5,42.4,0.0,5.3,3.9,38.0,0.0,1.0,58.3,4-7,.571,3-6,.500,1-6,.167,,,,
116,2018,So,6-0,Ariston Johnson,Alabama A&M,SWAC,30,26.7,-1.0,70.9,11.9,32.1,34.3,3.4,11.4,10.9,26.5,0.0,0.5,14.3,5-8,.625,9-36,.250,6-20,.300,,,,
117,Conf. games:,Conf. games:,17,27.6,-0.8,81.7,11.6,40.6,41.6,2.8,9.8,11.0,25.8,0.0,0.3,18.8,3-6,.500,7-19,.368,4-13,.308,,,,,,,,
118,Top 100 quality games:,Top 100:,6,21.7,-1.3,46.2,13.1,9.1,16.7,4.1,8.2,7.5,16.9,0.0,1.1,18.2,2-2,1.000,1-8,.125,0-3,.000,,,,,,,,
119,,,,,Top 50 quality games:,Top 50:,2,17.5,-2.2,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0-0,.000,0-2,.000,0-0,.000,,,,
120,2018,Jr,6-9,Mohamed Sherif,Alabama A&M,SWAC,22,44.6,-1.3,73.0,21.3,42.7,41.1,7.2,11.3,7.1,24.7,1.6,0.4,54.2,26-78,.333,60-142,.423,1-2,.500,,,,
121,Conf. games:,Conf. games:,9,27.6,-1.2,73.7,23.4,43.2,39.8,9.5,16.1,7.0,23.0,1.9,0.9,49.2,7-29,.241,24-57,.421,1-2,.500,,,,,,,,
122,Top 100 quality games:,Top 100:,6,73.3,-1.0,72.3,20.0,39.6,38.3,6.0,6.5,10.7,21.3,1.2,0.3,35.4,5-17,.294,19-48,.396,0-0,.000,,,,,,,,
123,,,,,Top 50 quality games:,Top 50:,2,62.5,-1.8,61.1,18.4,25.0,30.2,4.3,11.9,16.5,23.7,0.0,0.0,137.5,4-11,.364,2-8,.250,0-0,.000,,,,
124,2018,So,6-0,Ryan McLaurin,Alabama A&M,SWAC,3,1.0,-1.3,0.0,22.6,0.0,0.0,0.0,0.0,0.0,59.6,0.0,0.0,0.0,0-0,.000,0-2,.000,0-1,.000,,,,
125,Top 100 quality games:,Top 100:,2,2.1,-0.8,0.0,19.8,0.0,0.0,0.0,0.0,0.0,58.1,0.0,0.0,0.0,0-0,.000,0-1,.000,0-0,.000,,,,,,,,
126,Top 50 quality games:,Top 50:,1,3.8,-1.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0.0,0.0,0-0,.000,0-1,.000,0-0,.000,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2018,Sr,6-5,Rodney Simeon,Alabama St.,SWAC,23,35.3,-0.0,90.9,20.9,43.5,46.2,3.7,7.0,2.8,17.1,1.0,1.0,14.8,20-25,.800,15-46,.326,39-123,.317,,,,
129,Conf. games:,Conf. games:,18,47.7,-0.3,89.3,19.5,42.6,45.4,2.7,5.6,2.3,19.4,0.9,1.0,15.6,15-19,.789,13-39,.333,26-83,.313,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,2017,Jr,6-5,Rodney Simeon,Alabama St.,SWAC,29,60.6,1.1,98.2,25.3,47.5,50.3,4.8,13.8,8.9,18.6,1.3,1.5,24.4,55-77,.714,45-104,.433,70-212,.330
132,2018,Sr,6-0,Steve Rogers,Alabama St.,SWAC,20,17.5,-0.2,92.0,14.2,34.8,40.9,1.4,6.6,7.7,10.9,0.5,1.6,28.6,13-16,.813,3-24,.125,11-32,.344,,,,
133,Conf. games:,Conf. games:,11,13.1,-0.9,72.0,10.3,10.0,29.3,1.1,4.3,6.9,17.4,0.0,1.8,53.3,8-8,1.000,0-6,.000,1-9,.111,,,,,,,,
134,Top 100 quality games:,Top 100:,4,24.0,1.1,109.3,20.1,52.5,53.7,0.0,9.8,5.0,5.7,2.2,1.1,15.0,2-3,.667,0-8,.000,7-12,.583,,,,,,,,
