,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
28,2011,Fr,6-1,Hollis Hill,Texas A&M Corpus Chris,Slnd,28,23.2,-0.5,-8.8,66.9,22.7,31.0,35.6,3.7,4.3,14.2,30.3,0.0,3.3,25.3,14-20,.700,11-36,.306,9-43,.209,,,,
29,,,,,Conf. games:,Conf. games:,16,23.1,-0.7,-10.1,64.6,22.0,29.5,33.5,4.2,6.7,14.3,29.4,0.0,2.9,18.2,6-8,.750,7-19,.368,4-25,.160,,,,
30,,,,,Top 100 quality games:,Top 100:,6,24.6,0.0,-6.2,72.5,30.2,34.1,40.7,5.6,2.1,22.2,30.2,0.0,3.1,36.4,6-8,.750,3-12,.250,3-10,.300,,,,
31,,,,,Top 50 quality games:,Top 50:,2,22.5,-1.7,-21.5,28.1,29.8,0.0,15.6,5.4,0.0,12.7,45.0,0.0,0.0,60.0,2-3,.667,0-4,.000,0-1,.000,,,,
32,2011,Jr,6-4,Garland Judkins,Texas A&M Corpus Chris,Slnd,26,51.3,-0.7,-7.5,74.5,22.6,43.9,47.7,2.1,6.9,18.1,36.7,0.7,2.1,32.7,33-48,.688,51-107,.477,9-40,.225,,,,
33,,,,,Conf. games:,Conf. games:,16,62.0,-0.6,-7.6,76.8,23.1,44.9,48.1,1.6,9.1,19.1,33.9,0.3,2.1,28.7,21-31,.677,38-78,.487,7-30,.233,,,,
34,,,,,Top 100 quality games:,Top 100:,5,36.7,-1.2,-8.4,60.2,20.4,38.2,40.3,2.5,1.4,21.9,43.3,2.1,0.7,35.3,3-6,.500,5-12,.417,1-5,.200,,,,
35,,,,,Top 50 quality games:,Top 50:,2,57.5,-3.1,-9.4,43.6,18.5,27.8,27.8,2.1,0.0,22.1,49.6,3.9,0.0,0.0,0-0,.000,1-6,.167,1-3,.333,,,,
36,2011,Fr,6-7,Darren Warren,Texas A&M Corpus Chris,Slnd,9,2.7,-0.4,-11.4,53.6,16.0,25.0,25.0,8.0,4.1,0.0,25.1,0.0,0.0,0.0,0-0,.000,2-3,.667,0-5,.000,,,,
37,,,,,Conf. games:,Conf. games:,2,0.3,-0.3,-23.1,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
38,,,,,Top 100 quality games:,Top 100:,5,6.7,-0.5,-12.6,35.1,18.1,25.0,25.0,0.0,7.7,0.0,41.2,0.0,0.0,0.0,0-0,.000,1-2,.500,0-2,.000,,,,
39,,,,,Top 50 quality games:,Top 50:,2,16.3,-0.6,-6.7,60.6,13.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-2,.500,0-2,.000,,,,
40,2011,Sr,6-6,Tom Fow,Air Force,MWC,30,59.1,2.9,5.6,113.6,22.3,60.0,62.3,2.6,10.2,10.2,9.2,1.2,1.4,20.0,42-51,.824,51-104,.490,68-151,.450,,,,
41,,,,,Conf. games:,Conf. games:,16,57.5,3.6,8.5,119.7,22.3,62.5,64.3,3.0,14.4,10.2,4.7,0.8,1.1,20.6,22-28,.786,22-50,.440,42-86,.488,,,,
42,,,,,Top 100 quality games:,Top 100:,15,59.2,3.9,9.3,121.7,21.1,66.3,67.5,3.2,10.1,13.0,7.6,1.2,2.0,20.8,19-25,.760,27-46,.587,35-74,.473,,,,
43,,,,,Top 50 quality games:,Top 50:,9,59.2,3.9,9.5,116.6,22.4,62.7,63.9,2.9,10.9,15.0,6.8,2.1,1.5,12.7,8-10,.800,15-30,.500,23-49,.469,,,,
44,2011,Sr,6-5,Derek Brooks,Air Force,MWC,30,57.0,2.5,3.0,108.9,23.2,58.8,61.6,3.7,10.9,16.4,16.0,2.0,1.9,40.7,60-83,.723,63-115,.548,38-89,.427,,,,
45,,,,,Conf. games:,Conf. games:,16,53.8,2.4,3.6,104.5,25.1,60.1,62.4,2.8,13.3,20.5,19.5,2.5,1.9,39.4,29-41,.707,28-50,.560,23-54,.426,,,,
46,,,,,Top 100 quality games:,Top 100:,15,57.2,2.2,2.2,98.9,25.5,53.6,57.1,2.4,15.2,16.8,16.7,1.6,1.7,39.1,31-43,.721,26-57,.456,22-53,.415,,,,
47,,,,,Top 50 quality games:,Top 50:,9,56.4,1.9,2.8,92.0,26.8,49.3,51.2,3.0,15.3,18.9,14.4,1.4,2.9,22.7,11-17,.647,19-40,.475,12-35,.343,,,,
48,2011,Sr,6-4,Evan Washington,Air Force,MWC,30,77.9,1.3,-0.2,95.9,19.1,44.7,47.7,2.7,9.9,27.0,19.9,2.7,2.4,56.2,56-100,.560,75-167,.449,3-11,.273,,,,
49,,,,,Conf. games:,Conf. games:,16,79.8,1.5,-0.1,98.6,16.5,43.1,44.4,3.0,13.9,31.9,20.0,2.3,1.9,41.3,16-33,.485,33-75,.440,1-5,.200,,,,
50,,,,,Top 100 quality games:,Top 100:,15,75.7,0.8,-0.9,87.8,19.0,40.1,45.0,2.5,12.0,23.5,20.6,1.5,2.2,55.8,29-48,.604,30-79,.380,3-7,.429,,,,
51,,,,,Top 50 quality games:,Top 50:,9,79.7,0.4,-0.4,83.5,17.6,38.8,41.3,3.0,14.8,21.8,18.1,2.0,2.3,31.0,10-18,.556,21-53,.396,1-5,.200,,,,
52,2011,Sr,6-6,Brett McKnight,Akron,MAC,28,35.6,1.8,3.2,105.5,27.3,51.9,54.7,4.1,13.2,11.0,11.3,0.4,1.9,27.6,46-64,.719,77-155,.497,29-77,.377,,,,
53,,,,,Conf. games:,Conf. games:,16,46.3,1.6,1.2,100.7,28.1,49.6,52.2,4.0,17.0,14.0,13.8,0.0,1.8,20.3,21-28,.750,43-88,.489,17-50,.340,,,,
54,,,,,Top 100 quality games:,Top 100:,4,20.3,2.5,5.7,102.9,33.2,57.5,57.1,4.4,8.2,26.8,14.8,0.0,2.4,20.0,4-8,.500,14-27,.519,6-13,.462,,,,
55,,,,,Top 50 quality games:,Top 50:,1,13.3,-0.6,-8.6,61.9,34.6,29.2,29.2,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0-0,.000,2-9,.222,1-3,.333,,,,
56,2011,Sr,6-0,Darryl Roberts,Akron,MAC,35,68.1,1.7,1.4,111.9,15.0,54.3,59.0,1.9,6.8,11.9,16.5,0.0,1.4,24.4,51-54,.944,51-96,.531,46-125,.368,,,,
57,,,,,Conf. games:,Conf. games:,16,67.8,2.1,1.9,116.5,15.1,56.2,61.7,1.9,10.3,12.1,16.6,0.0,1.7,28.9,27-28,.964,20-38,.526,23-59,.390,,,,
58,,,,,Top 100 quality games:,Top 100:,9,64.4,0.8,1.9,96.3,15.7,55.7,58.1,1.8,4.1,8.1,24.7,0.0,2.6,15.1,7-8,.875,13-22,.591,11-31,.355,,,,
59,,,,,Top 50 quality games:,Top 50:,3,55.8,0.5,1.8,92.0,14.9,53.3,53.3,2.8,5.4,13.7,23.9,0.0,1.8,0.0,0-0,.000,2-7,.286,4-8,.500,,,,
60,2011,Sr,6-2,Steve McNees,Akron,MAC,35,78.0,1.2,0.4,101.5,16.4,45.7,48.7,0.6,6.5,17.0,13.5,0.4,1.4,28.0,53-78,.679,27-69,.391,67-210,.319,,,,
61,,,,,Conf. games:,Conf. games:,16,77.0,2.2,0.7,113.3,15.7,52.5,54.0,0.7,7.6,19.6,11.7,0.2,0.9,25.2,19-30,.633,16-35,.457,31-84,.369,,,,
62,,,,,Top 100 quality games:,Top 100:,9,76.9,1.5,1.4,101.0,16.0,50.7,52.1,0.4,3.0,11.0,13.5,0.4,1.3,22.2,10-16,.625,2-10,.200,23-62,.371,,,,
63,,,,,Top 50 quality games:,Top 50:,3,80.8,0.8,-0.6,85.2,21.2,40.0,42.0,0.0,3.7,17.1,11.6,0.0,1.2,11.4,3-4,.750,2-7,.286,8-28,.286,,,,
64,2011,Sr,6-10,Mike Bardo,Akron,MAC,35,27.9,-0.0,-4.2,100.6,8.9,54.3,50.6,9.8,8.8,3.2,21.9,2.1,1.1,62.9,8-22,.364,19-35,.543,0-0,.000,,,,
65,,,,,Conf. games:,Conf. games:,16,26.1,-0.1,-3.0,96.0,11.3,47.1,45.3,12.1,11.9,5.3,22.5,3.2,2.2,76.5,5-13,.385,8-17,.471,0-0,.000,,,,
66,,,,,Top 100 quality games:,Top 100:,9,30.8,0.1,-4.5,102.0,7.0,85.7,75.5,6.7,4.3,5.1,38.3,0.9,0.5,28.6,0-2,.000,6-7,.857,0-0,.000,,,,
67,,,,,Top 50 quality games:,Top 50:,3,30.0,-0.2,-4.7,94.4,6.1,100.0,100.0,5.2,6.7,0.0,54.3,0.0,0.0,0.0,0-0,.000,2-2,1.000,0-0,.000,,,,
68,2011,Fr,6-8,Dakotah Euton,Akron,MAC,14,4.7,-0.0,-3.6,89.3,16.5,30.0,35.0,6.8,10.1,2.7,0.0,1.6,0.0,30.0,4-6,.667,0-7,.000,4-13,.308,,,,
69,,,,,Conf. games:,Conf. games:,4,0.9,-0.5,-9.4,0.0,7.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
70,,,,,Top 100 quality games:,Top 100:,5,9.7,0.6,1.5,115.3,14.1,50.0,50.3,6.1,10.2,5.8,0.0,2.8,0.0,22.2,1-2,.500,0-3,.000,3-6,.500,,,,
71,,,,,Top 50 quality games:,Top 50:,2,10.0,0.2,0.1,102.3,11.4,50.0,50.0,0.0,20.2,0.0,0.0,8.2,0.0,0.0,0-0,.000,0-1,.000,1-2,.500,,,,
72,2011,Sr,6-3,Charvez Davis,Alabama,SEC,37,70.1,1.5,2.0,103.3,16.0,48.2,50.0,1.0,6.3,9.7,16.4,0.3,1.6,10.4,26-31,.839,37-93,.398,71-205,.346,,,,
73,,,,,Conf. games:,Conf. games:,16,71.9,0.0,-0.0,88.6,14.9,38.2,41.0,0.8,9.7,11.1,18.4,0.7,1.3,11.8,12-14,.857,11-36,.306,23-83,.277,,,,
74,,,,,Top 100 quality games:,Top 100:,20,75.7,0.7,0.1,93.1,15.6,42.0,44.1,1.0,5.9,11.0,17.3,0.2,1.5,10.4,14-17,.824,22-55,.400,31-108,.287,,,,
75,,,,,Top 50 quality games:,Top 50:,7,67.7,-1.0,-2.6,73.2,15.9,35.7,37.3,0.6,6.9,6.2,22.6,0.0,1.3,8.2,3-4,.750,7-18,.389,7-31,.226,,,,
76,2011,Sr,6-2,Senario Hillman,Alabama,SEC,37,51.9,0.7,0.4,91.1,21.3,42.3,45.4,5.7,5.5,16.0,22.9,0.9,4.0,18.3,34-44,.773,84-185,.454,12-56,.214,,,,
77,,,,,Conf. games:,Conf. games:,16,48.2,-0.0,-1.5,84.3,17.5,36.8,42.8,1.9,8.1,15.1,25.8,0.7,3.1,22.4,16-17,.941,25-59,.424,2-17,.118,,,,
78,,,,,Top 100 quality games:,Top 100:,20,52.1,0.5,-1.4,87.5,19.6,39.8,42.2,6.6,5.0,13.9,21.4,0.8,3.5,14.6,13-18,.722,43-100,.430,4-23,.174,,,,
79,,,,,Top 50 quality games:,Top 50:,7,53.3,-0.2,-0.8,79.2,16.8,42.9,42.9,2.4,7.9,16.5,29.6,0.8,3.8,0.0,0-0,.000,12-27,.444,2-8,.250,,,,
80,2011,Sr,6-8,Chris Hines,Alabama,SEC,37,70.9,0.4,2.6,94.8,13.9,47.9,50.4,8.8,9.7,8.1,26.1,5.8,3.1,41.4,42-70,.600,81-167,.485,0-2,.000,,,,
81,,,,,Conf. games:,Conf. games:,16,69.0,0.8,3.0,99.2,13.8,47.7,52.4,9.0,14.7,9.3,24.7,4.3,3.0,61.5,26-40,.650,31-65,.477,0-0,.000,,,,
82,,,,,Top 100 quality games:,Top 100:,20,77.4,0.5,2.2,94.9,12.8,50.5,51.1,8.5,11.4,7.8,25.9,4.7,2.7,35.5,17-33,.515,47-92,.511,0-1,.000,,,,
83,,,,,Top 50 quality games:,Top 50:,7,78.6,0.9,3.2,94.3,13.8,48.6,52.8,6.1,10.8,8.1,26.5,3.6,3.7,40.0,10-14,.714,17-35,.486,0-0,.000,,,,
84,2011,Sr,6-7,Justin Luquire,Alabama,SEC,9,1.5,0.0,-0.4,93.9,15.7,60.0,50.4,5.2,38.9,8.8,16.9,0.0,0.0,40.0,0-2,.000,3-4,.750,0-1,.000,,,,
85,,,,,Conf. games:,Conf. games:,1,0.5,-1.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
86,,,,,Top 100 quality games:,Top 100:,1,0.1,0.2,99.2,200.0,20.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-1,1.000,0-0,.000,,,,
87,,,,,Top 50 quality games:,Top 50:,1,0.2,0.2,99.2,200.0,20.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-1,1.000,0-0,.000,,,,
88,2011,Fr,6-8,Jason Carter,Alabama,SEC,16,6.4,-0.4,-9.6,62.2,23.1,27.1,36.5,6.2,8.2,3.7,35.8,1.2,1.9,54.2,9-13,.692,5-19,.263,1-5,.200,,,,
89,,,,,Conf. games:,Conf. games:,3,0.3,0.2,8.9,123.7,44.8,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2-2,1.000,0-1,.000,0-0,.000,,,,
90,,,,,Top 100 quality games:,Top 100:,6,3.0,-1.2,-12.6,0.0,16.6,0.0,0.0,0.0,9.8,0.0,61.5,0.0,5.1,0.0,0-0,.000,0-4,.000,0-0,.000,,,,
91,,,,,Top 50 quality games:,Top 50:,2,0.7,-0.3,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
92,2011,Jr,6-3,Kendall Durant,Alabama,SEC,8,5.0,0.2,-0.9,91.2,18.5,44.1,52.9,4.8,7.6,7.5,31.1,0.0,0.8,35.3,6-6,1.000,3-9,.333,3-8,.375,,,,
93,,,,,Top 100 quality games:,Top 100:,3,2.6,0.6,6.7,95.6,21.5,100.0,101.3,5.8,11.1,9.3,54.3,0.0,2.9,66.7,2-2,1.000,0-1,.000,2-2,1.000,,,,
94,,,,,Top 50 quality games:,Top 50:,1,2.5,-1.1,-4.2,44.5,9.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2011,N/A,-,Hunter Jeffery,Alabama,SEC,7,1.4,-0.2,-5.4,70.3,16.8,18.8,18.8,5.7,10.7,16.5,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,1-8,.125,,,,
97,,,,,Conf. games:,Conf. games:,2,0.6,-0.2,-8.1,55.9,12.8,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
98,,,,,Top 100 quality games:,Top 100:,1,0.1,-0.3,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2011,Sr,6-6,Bo Amusa,Alabama A&M,SWAC,25,48.5,0.9,1.4,102.9,19.8,51.3,53.7,6.4,11.1,8.2,14.6,6.2,2.8,42.4,40-64,.625,67-138,.486,7-13,.538,,,,
101,,,,,Conf. games:,Conf. games:,18,48.8,0.9,0.9,103.0,21.3,52.9,55.9,5.1,13.9,8.7,16.2,7.5,2.2,42.9,34-51,.667,54-110,.491,6-9,.667,,,,
102,,,,,Top 100 quality games:,Top 100:,4,50.6,0.8,2.6,99.3,13.3,42.5,43.0,8.2,3.2,6.7,5.6,3.8,3.0,10.0,1-2,.500,7-16,.438,1-4,.250,,,,
103,,,,,Top 50 quality games:,Top 50:,3,46.7,1.0,3.4,101.1,13.6,46.4,46.4,7.2,4.3,10.4,8.0,5.7,2.2,0.0,0-0,.000,5-11,.455,1-3,.333,,,,
104,2011,Sr,6-3,Cornelius Hester,Alabama A&M,SWAC,25,73.1,0.7,-1.8,92.6,22.7,44.6,46.6,3.7,9.1,14.4,15.8,0.5,2.5,13.2,30-40,.750,69-170,.406,44-133,.331,,,,
105,,,,,Conf. games:,Conf. games:,18,69.2,1.0,-1.0,97.7,22.9,47.3,50.0,3.4,11.8,16.9,15.9,0.6,2.6,18.6,29-38,.763,47-112,.420,33-92,.359,,,,
106,,,,,Top 100 quality games:,Top 100:,4,81.3,-1.0,-3.1,68.9,22.9,36.7,36.7,2.9,2.0,13.4,24.4,0.8,3.7,0.0,0-0,.000,12-31,.387,4-18,.222,,,,
107,,,,,Top 50 quality games:,Top 50:,3,85.0,-0.2,-2.4,72.9,24.3,41.0,41.0,3.0,2.4,15.7,24.6,1.1,3.0,0.0,0-0,.000,10-23,.435,4-16,.250,,,,
108,2011,Sr,6-5,Jonathan Inman,Alabama A&M,SWAC,19,30.5,0.3,-2.9,93.5,19.5,58.9,57.3,7.1,16.8,7.3,24.4,4.9,1.3,133.9,39-75,.520,33-56,.589,0-0,.000,,,,
109,,,,,Conf. games:,Conf. games:,12,28.0,0.7,-0.5,102.9,19.5,69.7,62.8,9.9,22.2,8.8,22.4,5.6,1.4,175.8,30-58,.517,23-33,.697,0-0,.000,,,,
110,,,,,Top 100 quality games:,Top 100:,4,29.4,-0.9,-9.1,58.9,21.5,30.8,33.7,2.0,5.4,0.0,23.9,2.2,2.6,53.8,3-7,.429,4-13,.308,0-0,.000,,,,
111,,,,,Top 50 quality games:,Top 50:,3,30.8,-0.8,-8.1,58.3,23.9,36.4,37.4,0.0,6.6,0.0,27.6,2.9,3.3,45.5,2-5,.400,4-11,.364,0-0,.000,,,,
112,2011,Sr,6-1,Desmond Jackson,Alabama A&M,SWAC,25,45.8,-0.8,-6.1,79.2,17.0,37.9,39.1,3.6,8.4,11.8,19.3,0.7,2.1,15.9,11-21,.524,23-60,.383,18-72,.250,,,,
113,,,,,Conf. games:,Conf. games:,18,46.2,-1.1,-7.9,74.1,17.5,34.3,36.1,3.2,10.4,11.9,19.9,0.3,2.3,16.2,9-16,.563,16-48,.333,12-51,.235,,,,
114,,,,,Top 100 quality games:,Top 100:,4,35.6,-0.2,-0.7,80.9,16.1,40.6,40.6,1.7,4.5,13.8,19.7,3.6,2.1,0.0,0-0,.000,2-4,.500,3-12,.250,,,,
115,,,,,Top 50 quality games:,Top 50:,3,33.3,1.1,4.5,109.0,13.4,55.0,55.0,0.0,6.1,14.3,11.4,2.7,1.5,0.0,0-0,.000,1-3,.333,3-7,.429,,,,
116,2011,Sr,5-10,Jabari Deshields,Alabama A&M,SWAC,25,28.0,-1.1,-7.9,62.6,16.2,31.7,37.3,3.3,6.9,23.1,43.1,0.4,3.6,43.9,11-18,.611,10-32,.313,2-9,.222,,,,
117,,,,,Conf. games:,Conf. games:,18,28.6,-1.2,-7.1,61.8,14.7,25.0,34.8,2.6,7.9,23.4,43.8,0.0,4.3,66.7,10-16,.625,3-17,.176,2-7,.286,,,,
118,,,,,Top 100 quality games:,Top 100:,4,22.5,-0.9,-10.9,51.8,21.1,27.3,27.3,5.3,7.1,14.4,31.8,0.0,1.7,0.0,0-0,.000,3-10,.300,0-1,.000,,,,
119,,,,,Top 50 quality games:,Top 50:,3,24.2,-1.0,-9.1,51.0,20.3,25.0,25.0,7.0,8.4,18.1,31.2,0.0,2.1,0.0,0-0,.000,2-7,.286,0-1,.000,,,,
120,2011,Sr,5-9,Reggie Porter,Alabama A&M,SWAC,16,9.9,-0.2,-7.6,78.7,21.1,37.0,45.3,4.2,3.3,23.6,32.3,0.0,1.1,52.2,9-12,.750,7-16,.438,1-7,.143,,,,
121,,,,,Conf. games:,Conf. games:,11,5.8,-0.1,-9.9,80.7,26.1,39.3,44.9,2.5,2.4,21.6,25.3,0.0,1.3,57.1,5-8,.625,4-9,.444,1-5,.200,,,,
122,,,,,Top 100 quality games:,Top 100:,4,22.5,-0.1,-5.8,83.5,14.1,40.0,50.4,2.6,7.1,26.9,35.7,0.0,0.0,40.0,2-2,1.000,2-3,.667,0-2,.000,,,,
123,,,,,Top 50 quality games:,Top 50:,3,20.8,0.5,-3.2,98.5,15.9,50.0,60.6,0.0,9.7,32.4,30.8,0.0,0.0,50.0,2-2,1.000,2-3,.667,0-1,.000,,,,
124,2011,N/A,6-5,Tremayne Moorer,Alabama St.,SWAC,15,23.2,2.2,4.1,111.1,28.3,50.4,55.5,11.0,22.2,8.4,10.9,1.5,2.8,58.3,54-77,.701,62-122,.508,3-10,.300,,,,
125,,,,,Conf. games:,Conf. games:,11,29.3,2.1,5.2,112.3,28.3,52.1,55.3,12.3,20.2,9.1,10.8,2.1,3.1,57.9,35-55,.636,45-87,.517,3-8,.375,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,2010,Sr,6-5,Tramayne Moorer,Alabama St.,SWAC,28,65.8,1.7,-0.1,99.9,25.0,47.1,55.0,9.3,20.7,5.9,21.2,2.4,2.2,77.6,128-177,.723,97-202,.480,7-26,.269
128,2011,Fr,6-4,Kaylim Noel,Alabama St.,SWAC,22,15.5,0.5,0.1,103.0,19.7,59.3,58.6,4.2,9.3,10.3,20.6,1.7,1.2,42.4,13-25,.520,17-31,.548,12-28,.429,,,,
