,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2012,Jr,6-6,Myron Dempsey,Texas A&M Corpus Chris,Slnd,28,64.0,0.8,-0.7,93.3,20.0,47.9,47.2,12.1,15.9,8.4,15.8,3.1,2.6,37.3,33-81,.407,104-217,.479,0-0,.000,,,,
1,,,,,Conf. games:,Conf. games:,14,61.1,0.4,-2.5,90.5,19.2,46.5,46.4,10.6,17.4,7.7,17.5,2.5,2.3,43.6,19-44,.432,47-101,.465,0-0,.000,,,,
2,,,,,Top 100 quality games:,Top 100:,5,69.0,0.6,-0.8,84.7,21.9,43.8,43.2,12.6,14.2,0.0,13.8,0.8,3.5,22.9,4-11,.364,21-48,.438,0-0,.000,,,,
3,,,,,Top 50 quality games:,Top 50:,1,70.0,0.2,-4.3,81.5,20.9,36.4,34.9,21.0,14.8,0.0,9.2,0.0,3.9,9.1,0-1,.000,4-11,.364,0-0,.000,,,,
4,2012,Sr,6-6,Chris Hawkins-Mast,Texas A&M Corpus Chris,Slnd,30,78.5,0.7,-5.3,85.2,26.3,42.9,47.2,7.5,14.2,7.0,21.6,0.7,1.1,43.8,94-146,.644,122-265,.460,14-68,.206,,,,
5,,,,,Conf. games:,Conf. games:,16,81.6,1.3,-4.9,90.3,26.2,48.9,51.7,9.2,15.2,6.5,22.7,0.8,0.9,41.0,47-75,.627,82-151,.543,5-32,.156,,,,
6,,,,,Top 100 quality games:,Top 100:,5,75.0,0.7,-4.3,81.8,25.1,40.8,46.1,2.9,13.9,8.0,20.6,0.0,1.2,55.1,17-27,.630,11-31,.355,6-18,.333,,,,
7,,,,,Top 50 quality games:,Top 50:,1,82.5,6.8,6.9,129.8,24.0,58.3,65.7,0.0,20.9,17.7,6.8,0.0,0.0,83.3,8-10,.800,4-8,.500,2-4,.500,,,,
8,2012,Jr,6-3,Jason Smith,Texas A&M Corpus Chris,Slnd,28,22.7,-0.2,-6.1,74.7,25.6,37.2,43.5,2.0,20.5,15.9,28.0,0.8,1.8,45.3,27-39,.692,23-64,.359,6-22,.273,,,,
9,,,,,Conf. games:,Conf. games:,15,25.3,0.1,-3.7,84.7,24.1,40.8,47.5,1.4,21.0,21.1,26.0,0.0,1.9,42.9,16-21,.762,14-33,.424,4-16,.250,,,,
10,,,,,Top 100 quality games:,Top 100:,5,17.5,-1.3,-19.6,28.4,28.6,22.7,21.8,0.0,14.0,7.4,47.7,3.2,1.7,9.1,0-1,.000,1-9,.111,1-2,.500,,,,
11,,,,,Top 50 quality games:,Top 50:,1,5.0,-0.6,-84.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,73.6,0.0,0.0,0.0,0-0,.000,0-1,.000,0-0,.000,,,,
12,2012,Fr,6-8,Jordan Pope-Didier,Texas A&M Corpus Chris,Slnd,28,24.5,-0.8,-8.4,70.9,12.3,41.7,40.9,6.7,10.7,2.2,29.6,1.9,1.4,14.6,2-7,.286,20-44,.455,0-4,.000,,,,
13,,,,,Conf. games:,Conf. games:,16,27.3,-1.0,-10.5,65.8,13.2,42.3,43.0,7.2,10.0,2.4,39.0,1.3,1.4,15.4,2-4,.500,11-23,.478,0-3,.000,,,,
14,,,,,Top 100 quality games:,Top 100:,5,16.5,-0.9,-10.8,48.4,15.5,28.6,25.2,6.6,14.9,0.0,23.4,3.4,1.8,28.6,0-2,.000,2-7,.286,0-0,.000,,,,
