,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2013,Jr,6-6,William Nelson,Texas A&M Corpus Chris,Slnd,27,70.8,1.5,-4.4,88.5,31.2,43.1,47.1,9.0,22.2,8.5,19.9,0.6,1.4,34.0,78-114,.684,92-209,.440,35-126,.278,,,,
1,,,,,Conf. games:,Conf. games:,17,72.6,1.9,-3.0,93.8,29.9,47.8,51.0,9.0,22.9,9.3,20.9,0.5,1.0,33.7,47-70,.671,62-128,.484,25-80,.313,,,,
2,,,,,Top 100 quality games:,Top 100:,6,69.2,2.0,-4.1,84.2,32.9,41.5,44.9,7.7,22.1,9.0,20.4,2.2,0.8,33.8,15-24,.625,19-49,.388,7-22,.318,,,,
3,,,,,Top 50 quality games:,Top 50:,3,56.7,-1.5,-12.5,55.9,29.1,22.2,28.8,4.7,13.6,3.4,21.9,4.3,0.9,33.3,6-9,.667,3-19,.158,2-8,.250,,,,
4,2013,Jr,6-2,Kennon Dvorak,Texas A&M Corpus Chris,Slnd,12,6.4,-0.2,-9.5,84.1,12.1,55.6,57.5,4.8,8.7,2.8,36.3,0.0,0.9,33.3,2-3,.667,2-3,.667,2-6,.333,,,,
5,,,,,Conf. games:,Conf. games:,5,2.1,-0.2,-11.6,74.6,16.6,100.0,67.8,15.7,16.6,13.6,51.5,0.0,4.3,100.0,0-1,.000,1-1,1.000,0-0,.000,,,,
6,,,,,Top 100 quality games:,Top 100:,4,10.4,-2.0,-10.4,0.0,3.6,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
7,,,,,Top 50 quality games:,Top 50:,2,15.0,-2.8,-10.0,0.0,2.5,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-1,.000,0-0,.000,,,,
8,2013,Sr,6-5,Michael Lyons,Air Force,MWC,28,74.7,4.7,4.5,109.2,29.0,53.7,57.1,5.1,9.6,17.0,12.4,0.6,2.1,32.1,92-122,.754,129-228,.566,50-152,.329,,,,
9,,,,,Conf. games:,Conf. games:,16,83.6,4.6,3.2,104.4,28.9,52.9,55.9,4.4,7.7,17.9,13.8,0.7,1.9,25.9,44-58,.759,81-139,.583,25-85,.294,,,,
10,,,,,Top 100 quality games:,Top 100:,17,75.3,5.1,3.7,105.2,30.5,51.6,54.7,5.9,8.2,20.0,12.0,0.2,2.2,25.6,48-63,.762,82-148,.554,30-98,.306,,,,
11,,,,,Top 50 quality games:,Top 50:,12,78.4,4.4,2.3,99.1,30.9,49.1,52.1,5.3,9.1,18.7,12.7,0.3,2.0,22.1,29-38,.763,53-102,.520,21-70,.300,,,,
12,2013,Sr,6-2,Todd Fletcher,Air Force,MWC,30,81.2,3.3,2.7,116.0,16.0,59.4,60.1,1.0,9.6,21.8,15.5,0.1,2.0,13.8,21-31,.677,52-102,.510,54-122,.443,,,,
13,,,,,Conf. games:,Conf. games:,16,83.3,3.7,3.1,115.3,16.3,59.5,61.0,0.8,11.0,22.7,15.8,0.2,1.5,14.9,14-18,.778,24-50,.480,32-71,.451,,,,
14,,,,,Top 100 quality games:,Top 100:,18,81.2,2.8,0.4,105.8,16.3,54.2,55.8,0.9,10.8,21.4,17.6,0.2,1.1,15.2,15-20,.750,25-53,.472,31-79,.392,,,,
15,,,,,Top 50 quality games:,Top 50:,12,82.1,3.2,1.0,107.0,16.7,56.5,56.3,1.0,9.1,24.5,16.9,0.0,1.2,6.5,3-6,.500,18-35,.514,23-58,.397,,,,
16,2013,Sr,6-6,Mike Fitzgerald,Air Force,MWC,30,74.5,3.1,2.1,114.4,17.6,57.8,63.1,3.0,14.1,11.3,16.9,0.3,1.6,43.6,75-89,.843,61-108,.565,38-96,.396,,,,
