,Yr,Cls,Ht,Player,Team,Conf.,G,Min%,PRPG!,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FT_raw,FT_pct,2P_raw,2P_pct,3P_raw,3P_pct,shit,shit,shit,shit
29,,,,,Conf. games:,Conf. games:,17,32.0,-0.1,85.2,23.8,44.4,47.8,10.3,22.6,10.3,27.4,2.8,1.3,25.4,13-18,.722,30-65,.462,1-6,.167,,,,
30,,,,,Top 100 quality games:,Top 100:,2,38.8,-3.8,16.5,16.0,0.0,0.0,3.1,23.9,12.9,24.2,0.0,1.9,0.0,0-0,.000,0-8,.000,0-0,.000,,,,
31,,,,,Top 50 quality games:,Top 50:,1,45.0,-4.8,8.7,19.6,0.0,0.0,0.0,25.6,11.7,16.9,0.0,3.2,0.0,0-0,.000,0-6,.000,0-0,.000,,,,
32,2019,Fr,6-6,Jalon Clark,Texas A&M Corpus Chris,Slnd,22,15.7,-0.3,77.1,20.9,48.8,48.5,4.0,14.2,9.8,31.0,0.0,1.0,41.9,8-18,.444,18-32,.563,2-11,.182,,,,
33,,,,,Conf. games:,Conf. games:,13,14.8,-0.3,80.7,19.7,48.1,47.9,3.5,18.9,11.6,28.6,0.0,1.1,34.6,4-9,.444,11-21,.524,1-5,.200,,,,
34,,,,,Top 100 quality games:,Top 100:,2,15.0,-0.9,37.5,26.7,75.0,50.8,0.0,0.0,0.0,56.3,0.0,0.0,100.0,0-2,.000,0-1,.000,1-1,1.000,,,,
35,,,,,Top 50 quality games:,Top 50:,1,15.0,-0.7,48.8,23.7,150.0,150.0,0.0,0.0,0.0,83.7,0.0,0.0,0.0,0-0,.000,0-0,.000,1-1,1.000,,,,
36,2019,Jr,5-10,Kyle Brown,Texas A&M Corpus Chris,Slnd,27,26.4,-0.9,75.0,11.8,32.7,43.4,2.0,7.2,18.4,41.0,0.4,4.5,69.2,13-18,.722,7-24,.292,1-2,.500,,,,
37,,,,,Conf. games:,Conf. games:,18,31.7,-1.0,74.9,12.5,35.7,45.2,2.2,5.7,16.9,42.1,0.0,5.3,66.7,10-14,.714,6-19,.316,1-2,.500,,,,
38,,,,,Top 100 quality games:,Top 100:,2,20.0,-0.5,81.1,8.1,0.0,0.0,6.1,9.3,37.5,92.4,0.0,3.7,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
39,,,,,Top 50 quality games:,Top 50:,1,15.0,1.3,152.9,11.6,0.0,0.0,16.7,0.0,105.3,85.2,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
40,2019,So,6-0,Peyton Smith,Texas A&M Corpus Chris,Slnd,11,5.3,-0.4,79.2,9.0,50.0,50.0,0.0,10.0,18.5,44.6,0.0,0.0,0.0,0-0,.000,1-2,.500,1-3,.333,,,,
41,,,,,Conf. games:,Conf. games:,7,6.9,-0.4,86.0,10.1,62.5,62.5,0.0,11.9,21.6,48.0,0.0,0.0,0.0,0-0,.000,1-2,.500,1-2,.500,,,,
42,,,,,Top 100 quality games:,Top 100:,1,1.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
43,,,,,Top 50 quality games:,Top 50:,1,2.5,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
44,2019,Jr,6-5,B.J. Maxwell,Abilene Christian,Slnd,21,48.3,2.8,129.8,15.2,61.4,64.4,6.5,14.6,11.9,10.2,1.6,2.5,20.7,26-29,.897,38-67,.567,32-73,.438,,,,
45,,,,,Conf. games:,Conf. games:,13,51.2,3.1,128.7,17.6,60.1,63.9,5.9,12.8,13.8,10.0,2.1,2.9,19.3,21-21,1.000,34-53,.642,21-56,.375,,,,
46,,,,,Top 100 quality games:,Top 100:,1,12.5,-2.1,24.8,11.9,0.0,0.0,11.0,30.8,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
47,,,,,Top 50 quality games:,Top 50:,1,12.5,-2.1,24.8,11.9,0.0,0.0,11.0,30.8,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
48,2019,Sr,6-6,Jaren Lewis,Abilene Christian,Slnd,30,82.1,2.4,105.2,25.3,46.2,50.8,8.8,15.9,17.7,13.4,2.6,2.8,36.5,94-128,.734,141-310,.455,14-41,.341,,,,
49,,,,,Conf. games:,Conf. games:,18,82.7,1.8,103.6,23.8,41.2,48.3,8.3,15.3,17.3,13.7,3.0,3.2,45.6,68-88,.773,66-165,.400,9-28,.321,,,,
50,,,,,Top 100 quality games:,Top 100:,2,82.5,4.6,100.7,25.3,50.0,51.2,6.6,11.7,45.5,11.4,4.9,1.9,21.7,3-5,.600,10-21,.476,1-2,.500,,,,
51,,,,,Top 50 quality games:,Top 50:,2,82.5,4.6,100.7,25.3,50.0,51.2,6.6,11.7,45.5,11.4,4.9,1.9,21.7,3-5,.600,10-21,.476,1-2,.500,,,,
52,2019,Sr,6-2,Jaylen Franklin,Abilene Christian,Slnd,30,82.4,2.1,108.5,20.1,54.9,56.4,1.6,13.3,29.1,18.9,0.8,3.0,52.4,72-122,.590,116-214,.542,8-19,.421,,,,
53,,,,,Conf. games:,Conf. games:,18,84.7,1.8,106.4,20.6,52.0,54.0,2.0,14.5,29.7,19.3,0.9,3.5,47.4,43-72,.597,73-140,.521,4-12,.333,,,,
54,,,,,Top 100 quality games:,Top 100:,2,87.5,-0.1,72.5,20.1,47.1,43.9,0.0,0.0,23.8,22.5,1.5,1.8,29.4,1-5,.200,5-14,.357,2-3,.667,,,,
55,,,,,Top 50 quality games:,Top 50:,2,87.5,-0.1,72.5,20.1,47.1,43.9,0.0,0.0,23.8,22.5,1.5,1.8,29.4,1-5,.200,5-14,.357,2-3,.667,,,,
56,2019,Jr,6-2,Payten Ricks,Abilene Christian,Slnd,30,83.2,1.8,111.1,17.0,54.9,58.9,0.6,10.5,11.1,14.7,0.1,2.6,26.6,61-71,.859,40-85,.471,71-182,.390,,,,
57,,,,,Conf. games:,Conf. games:,18,83.7,1.5,110.1,16.8,54.8,57.6,0.8,8.9,11.7,14.5,0.0,1.6,21.6,29-36,.806,24-50,.480,45-117,.385,,,,
58,,,,,Top 100 quality games:,Top 100:,2,83.8,-1.7,61.6,18.8,19.4,31.2,0.0,9.2,4.2,10.1,0.0,4.6,33.3,6-6,1.000,2-4,.500,1-14,.071,,,,
59,,,,,Top 50 quality games:,Top 50:,2,83.8,-1.7,61.6,18.8,19.4,31.2,0.0,9.2,4.2,10.1,0.0,4.6,33.3,6-6,1.000,2-4,.500,1-14,.071,,,,
60,2019,Jr,6-9,Jalone Friday,Abilene Christian,Slnd,19,36.4,1.4,96.7,30.2,53.0,55.7,5.3,20.3,8.4,19.5,5.3,1.8,24.1,37-49,.755,70-139,.504,25-64,.391,,,,
61,,,,,Conf. games:,Conf. games:,10,31.2,1.0,94.4,29.3,55.0,57.8,4.3,20.5,6.3,23.3,4.5,1.6,23.8,19-24,.792,33-68,.485,15-33,.455,,,,
62,,,,,Top 100 quality games:,Top 100:,1,25.0,2.8,87.9,36.8,50.0,48.5,5.5,46.2,25.0,8.6,5.4,3.1,50.0,2-5,.400,2-6,.333,2-4,.500,,,,
63,,,,,Top 50 quality games:,Top 50:,1,25.0,2.8,87.9,36.8,50.0,48.5,5.5,46.2,25.0,8.6,5.4,3.1,50.0,2-5,.400,2-6,.333,2-4,.500,,,,
64,2019,Sr,6-7,Hayden Farquhar,Abilene Christian,Slnd,30,35.6,1.3,115.5,21.1,60.1,60.8,7.1,13.0,11.2,13.3,1.6,2.8,21.5,20-31,.645,40-63,.635,31-81,.383,,,,
65,,,,,Conf. games:,Conf. games:,18,41.1,1.8,123.8,20.4,68.0,68.2,8.9,12.7,12.6,15.7,1.9,3.0,18.6,12-18,.667,30-46,.652,24-51,.471,,,,
66,,,,,Top 100 quality games:,Top 100:,2,33.8,-0.2,67.1,24.8,33.3,32.1,0.0,0.0,12.8,0.0,0.0,0.0,8.3,0-1,.000,1-1,1.000,2-11,.182,,,,
67,,,,,Top 50 quality games:,Top 50:,2,33.8,-0.2,67.1,24.8,33.3,32.1,0.0,0.0,12.8,0.0,0.0,0.0,8.3,0-1,.000,1-1,1.000,2-11,.182,,,,
68,2019,Fr,6-8,Joe Pleasant,Abilene Christian,Slnd,30,35.3,0.2,93.8,20.0,51.0,54.9,7.8,14.6,3.7,24.0,1.4,1.1,56.6,37-56,.661,46-86,.535,3-13,.231,,,,
69,,,,,Conf. games:,Conf. games:,18,34.0,0.3,96.7,20.6,54.2,57.5,9.8,17.3,2.4,24.6,1.4,1.2,55.0,22-33,.667,31-52,.596,1-8,.125,,,,
70,,,,,Top 100 quality games:,Top 100:,2,33.8,-3.8,6.1,15.2,0.0,0.0,0.0,17.1,9.3,46.4,4.0,0.0,0.0,0-0,.000,0-4,.000,0-0,.000,,,,
71,,,,,Top 50 quality games:,Top 50:,2,33.8,-3.8,6.1,15.2,0.0,0.0,0.0,17.1,9.3,46.4,4.0,0.0,0.0,0-0,.000,0-4,.000,0-0,.000,,,,
72,2019,Fr,5-7,Damien Daniels,Abilene Christian,Slnd,30,36.0,-0.1,92.3,17.3,40.0,44.9,3.4,10.2,18.1,20.7,0.3,2.3,24.0,20-24,.833,22-56,.393,12-44,.273,,,,
73,,,,,Conf. games:,Conf. games:,18,30.3,0.3,100.3,18.3,44.6,47.3,3.9,12.8,24.5,19.3,0.0,1.9,16.1,7-9,.778,13-33,.394,8-23,.348,,,,
74,,,,,Top 100 quality games:,Top 100:,2,47.5,-4.0,24.0,15.4,0.0,6.3,2.9,12.1,13.2,21.6,0.0,3.3,28.6,1-2,.500,0-2,.000,0-5,.000,,,,
75,,,,,Top 50 quality games:,Top 50:,2,47.5,-4.0,24.0,15.4,0.0,6.3,2.9,12.1,13.2,21.6,0.0,3.3,28.6,1-2,.500,0-2,.000,0-5,.000,,,,
76,2019,Jr,6-3,Trey Lenox,Abilene Christian,Slnd,30,37.5,-0.3,99.8,8.8,53.7,57.9,1.1,9.3,6.9,25.5,0.3,1.6,18.5,10-10,1.000,8-23,.348,14-31,.452,,,,
77,,,,,Conf. games:,Conf. games:,18,35.8,-0.6,93.2,9.6,51.4,54.1,0.9,9.4,6.6,26.3,0.0,1.8,11.1,4-4,1.000,5-14,.357,9-22,.409,,,,
78,,,,,Top 100 quality games:,Top 100:,2,55.0,2.6,125.6,6.7,66.7,66.7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-3,.333,2-3,.667,,,,
79,,,,,Top 50 quality games:,Top 50:,2,55.0,2.6,125.6,6.7,66.7,66.7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,1-3,.333,2-3,.667,,,,
80,2019,So,7-0,Kolton Kohl,Abilene Christian,Slnd,27,8.8,0.2,104.2,23.7,42.3,50.2,18.6,20.5,3.6,14.4,5.5,2.3,96.2,16-25,.640,11-26,.423,0-0,.000,,,,
81,,,,,Conf. games:,Conf. games:,17,9.5,0.3,106.5,23.6,46.7,54.2,19.4,21.4,5.5,18.4,8.2,0.9,113.3,11-17,.647,7-15,.467,0-0,.000,,,,
82,,,,,Top 100 quality games:,Top 100:,2,18.8,-0.8,48.8,16.2,0.0,12.7,14.6,30.8,0.0,0.0,0.0,4.1,66.7,1-2,.500,0-3,.000,0-0,.000,,,,
83,,,,,Top 50 quality games:,Top 50:,2,18.8,-0.8,48.8,16.2,0.0,12.7,14.6,30.8,0.0,0.0,0.0,4.1,66.7,1-2,.500,0-3,.000,0-0,.000,,,,
84,2019,Fr,6-6,Clay Gayman,Abilene Christian,Slnd,27,9.0,-0.1,81.9,21.2,40.4,45.5,11.3,5.9,5.0,28.7,1.1,1.1,38.5,7-10,.700,3-12,.250,5-14,.357,,,,
85,,,,,Conf. games:,Conf. games:,16,10.5,0.1,93.4,21.5,50.0,52.4,12.6,4.8,4.9,25.4,1.5,1.6,28.6,4-6,.667,3-8,.375,5-13,.385,,,,
86,,,,,Top 100 quality games:,Top 100:,2,12.5,-0.5,54.3,11.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1-2,.500,0-1,.000,0-0,.000,,,,
87,,,,,Top 50 quality games:,Top 50:,2,12.5,-0.5,54.3,11.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1-2,.500,0-1,.000,0-0,.000,,,,
88,2019,Fr,6-5,Tobias Cameron,Abilene Christian,Slnd,20,3.9,-0.2,75.1,13.3,14.3,23.7,10.5,5.4,10.6,19.2,0.0,0.0,42.9,2-3,.667,1-2,.500,0-5,.000,,,,
89,,,,,Conf. games:,Conf. games:,10,3.6,-0.3,69.6,13.2,33.3,28.8,4.7,4.7,19.5,34.9,0.0,0.0,33.3,0-1,.000,1-1,1.000,0-2,.000,,,,
90,,,,,Top 100 quality games:,Top 100:,2,5.0,0.5,120.8,30.8,0.0,51.3,27.4,38.5,0.0,0.0,0.0,0.0,200.0,2-2,1.000,0-1,.000,0-0,.000,,,,
91,,,,,Top 50 quality games:,Top 50:,2,5.0,0.5,120.8,30.8,0.0,51.3,27.4,38.5,0.0,0.0,0.0,0.0,200.0,2-2,1.000,0-1,.000,0-0,.000,,,,
92,2019,Jr,6-7,Ryan Swan,Air Force,MWC,30,65.6,3.0,110.4,25.1,59.4,61.6,11.5,19.7,14.7,19.5,2.1,1.7,43.8,77-112,.688,107-176,.608,30-80,.375,,,,
93,,,,,Conf. games:,Conf. games:,17,67.5,3.1,108.8,26.3,54.9,58.1,13.7,21.1,14.4,18.4,2.7,1.9,40.1,46-65,.708,65-120,.542,16-42,.381,,,,
94,,,,,Top 100 quality games:,Top 100:,9,56.3,1.2,90.0,23.4,52.4,53.1,7.4,16.7,12.2,22.4,5.7,1.3,38.1,13-24,.542,21-40,.525,8-23,.348,,,,
95,,,,,Top 50 quality games:,Top 50:,3,46.9,4.1,115.6,22.5,71.7,69.0,6.8,16.8,14.0,17.6,5.3,0.0,34.8,4-8,.500,9-15,.600,5-8,.625,,,,
96,2019,Jr,6-7,Lavelle Scottie,Air Force,MWC,31,78.5,1.7,92.9,27.9,52.2,53.3,5.0,15.9,9.6,19.6,1.1,1.3,21.9,54-89,.607,166-300,.553,31-107,.290,,,,
