,Yr,Cls,Ht,Player,Team,Conf.,G,Min%,PRPG!,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FT_raw,FT_pct,2P_raw,2P_pct,3P_raw,3P_pct,shit,shit,shit,shit
2686,,,,,Top 100 quality games:,Top 100:,4,6.7,-0.1,81.2,12.4,50.0,50.0,0.0,0.0,13.5,27.6,0.0,0.0,0.0,0-0,.000,0-0,.000,1-3,.333,,,,
2687,,,,,Top 50 quality games:,Top 50:,3,10.8,-0.8,42.8,4.1,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
2688,2019,So,6-8,Jared Chatham,Central Arkansas,Slnd,29,27.0,0.3,97.1,20.1,46.5,51.0,6.4,14.9,8.0,16.1,2.0,1.4,35.0,26-35,.743,39-81,.481,5-19,.263,,,,
2689,,,,,Conf. games:,Conf. games:,18,28.8,0.5,103.6,19.4,48.4,54.8,3.8,17.6,9.3,15.0,1.6,0.8,43.5,22-27,.815,27-53,.509,2-9,.222,,,,
2690,,,,,Top 100 quality games:,Top 100:,5,21.7,-0.9,57.7,20.8,31.3,32.4,5.7,15.1,4.3,25.3,6.3,1.1,12.5,1-2,.500,2-11,.182,2-5,.400,,,,
2691,,,,,Top 50 quality games:,Top 50:,3,29.2,-3.3,5.5,21.1,0.0,0.0,5.0,12.8,0.0,37.9,6.2,1.6,0.0,0-0,.000,0-7,.000,0-3,.000,,,,
2692,2019,Sr,6-8,Tanner Schmit,Central Arkansas,Slnd,29,33.8,0.2,93.6,19.2,45.6,47.7,5.9,10.8,8.3,14.9,0.3,1.0,11.8,13-16,.813,26-63,.413,24-73,.329,,,,
2693,,,,,Conf. games:,Conf. games:,18,33.4,0.3,97.0,19.8,50.0,52.3,6.5,12.0,11.3,19.6,0.5,0.9,14.1,9-11,.818,18-37,.486,14-41,.341,,,,
2694,,,,,Top 100 quality games:,Top 100:,6,34.6,0.1,82.1,20.9,39.7,40.9,2.4,10.8,6.0,6.3,0.0,1.3,8.8,2-3,.667,3-15,.200,7-19,.368,,,,
2695,,,,,Top 50 quality games:,Top 50:,3,42.5,-0.2,73.9,23.3,39.1,38.3,3.4,8.8,6.0,9.4,0.0,1.1,4.3,0-1,.000,3-11,.273,4-12,.333,,,,
2696,2019,Jr,6-7,Aaron Weidenaar,Central Arkansas,Slnd,24,13.6,0.0,92.9,16.9,41.0,45.5,0.7,7.4,10.8,12.0,2.7,1.4,16.0,8-8,1.000,1-6,.167,13-44,.295,,,,
2697,,,,,Conf. games:,Conf. games:,16,12.2,0.2,107.6,17.6,46.0,53.8,1.3,6.1,15.4,14.2,2.5,2.5,32.0,8-8,1.000,1-3,.333,7-22,.318,,,,
2698,,,,,Top 100 quality games:,Top 100:,5,20.4,-0.3,71.4,20.3,35.7,35.7,0.0,6.9,4.8,5.5,4.4,0.0,0.0,0-0,.000,0-3,.000,5-18,.278,,,,
2699,,,,,Top 50 quality games:,Top 50:,2,18.3,-0.5,69.2,18.2,33.3,33.3,0.0,5.1,0.0,0.0,5.0,0.0,0.0,0-0,.000,0-1,.000,2-8,.250,,,,
2700,2019,So,6-5,Matthew Mondesir,Central Arkansas,Slnd,29,56.1,-0.0,90.2,17.7,43.9,46.2,3.9,11.7,17.6,19.9,0.8,1.8,48.4,40-75,.533,53-119,.445,10-36,.278,,,,
2701,,,,,Conf. games:,Conf. games:,17,53.6,-0.1,91.9,18.1,44.8,47.3,4.1,10.3,19.6,21.3,0.8,2.7,52.9,25-46,.543,30-65,.462,6-22,.273,,,,
2702,,,,,Top 100 quality games:,Top 100:,6,58.3,-0.2,86.5,13.6,51.9,49.6,2.1,12.0,11.6,20.1,0.0,0.4,33.3,3-9,.333,11-20,.550,2-7,.286,,,,
2703,,,,,Top 50 quality games:,Top 50:,3,57.5,-1.5,69.4,12.4,33.3,33.5,2.5,17.9,17.7,19.6,0.0,0.0,25.0,1-3,.333,4-9,.444,0-3,.000,,,,
2704,2019,Fr,6-9,SK Shittu,Central Arkansas,Slnd,27,18.3,-0.5,66.8,25.2,33.1,38.9,6.5,17.0,0.0,26.0,4.5,0.8,26.3,17-21,.810,25-73,.342,1-7,.143,,,,
2705,,,,,Conf. games:,Conf. games:,16,15.9,-0.1,82.0,26.0,38.4,46.0,8.8,14.0,0.0,22.1,5.7,1.4,39.5,14-17,.824,15-38,.395,1-5,.200,,,,
2706,,,,,Top 100 quality games:,Top 100:,5,28.3,-1.6,45.8,29.8,22.6,25.8,5.8,21.4,0.0,24.3,4.8,0.0,12.9,3-4,.750,7-29,.241,0-2,.000,,,,
2707,,,,,Top 50 quality games:,Top 50:,3,34.2,-1.9,41.0,34.4,18.2,21.8,8.5,27.4,0.0,23.8,5.3,0.0,9.1,2-2,1.000,4-20,.200,0-2,.000,,,,
2708,2019,Fr,6-4,Khaleem Bennett,Central Arkansas,Slnd,26,41.9,-0.8,75.3,21.2,42.7,44.0,5.9,11.6,8.9,27.0,1.5,1.5,49.2,30-64,.469,51-118,.432,3-12,.250,,,,
2709,,,,,Conf. games:,Conf. games:,16,38.4,-1.1,69.4,22.3,38.4,39.4,7.3,12.8,6.4,26.7,2.0,1.4,60.3,18-44,.409,25-64,.391,2-9,.222,,,,
2710,,,,,Top 100 quality games:,Top 100:,6,57.1,-1.0,68.7,20.7,33.3,39.0,5.1,9.0,13.1,27.0,1.6,2.0,51.5,10-17,.588,11-32,.344,0-1,.000,,,,
2711,,,,,Top 50 quality games:,Top 50:,3,59.2,-1.4,62.8,20.4,27.8,33.6,7.4,9.5,14.2,27.0,1.5,1.6,33.3,4-6,.667,5-17,.294,0-1,.000,,,,
2712,2019,Sr,6-5,Tyler Kohl,Central Connecticut,NEC,26,72.9,2.6,99.4,31.1,43.2,50.9,5.6,17.9,30.7,20.4,0.1,2.3,42.9,130-154,.844,98-244,.402,38-115,.330,,,,
2713,,,,,Conf. games:,Conf. games:,15,71.5,1.7,93.3,31.6,39.3,47.6,5.3,18.0,31.2,21.1,0.3,2.2,43.6,80-96,.833,55-149,.369,21-71,.296,,,,
2714,,,,,Top 100 quality games:,Top 100:,5,77.0,2.2,93.4,28.0,42.5,47.3,5.8,13.7,24.9,20.6,0.0,2.3,26.7,13-16,.813,15-39,.385,7-21,.333,,,,
2715,,,,,Top 50 quality games:,Top 50:,1,27.5,-3.3,6.6,34.9,0.0,0.0,0.0,0.0,26.0,47.7,0.0,5.4,0.0,0-0,.000,0-2,.000,0-2,.000,,,,
2716,2019,Jr,6-7,Joe Hugley,Central Connecticut,NEC,23,41.2,2.0,109.7,25.9,48.7,57.0,7.1,18.5,1.9,14.1,2.9,1.1,54.0,86-101,.851,49-100,.490,28-87,.322,,,,
2717,,,,,Conf. games:,Conf. games:,12,36.0,2.0,108.8,27.7,47.4,57.9,7.6,20.4,2.6,15.6,2.5,0.4,77.1,61-74,.824,29-56,.518,11-40,.275,,,,
2718,,,,,Top 100 quality games:,Top 100:,5,47.0,2.6,111.9,25.8,54.8,58.8,3.6,18.2,0.0,12.2,4.0,0.6,23.8,9-10,.900,8-21,.381,10-21,.476,,,,
2719,,,,,Top 50 quality games:,Top 50:,1,60.0,2.0,94.5,24.9,50.0,50.0,0.0,23.0,0.0,0.0,5.6,0.0,0.0,0-0,.000,2-5,.400,3-8,.375,,,,
2720,2019,Jr,6-7,Jamir Coleman,Central Connecticut,NEC,28,67.2,1.8,106.5,21.8,48.0,53.4,6.9,18.2,7.7,13.9,2.9,2.1,30.6,73-85,.859,99-210,.471,23-68,.338,,,,
2721,,,,,Conf. games:,Conf. games:,18,69.0,1.8,106.1,23.6,44.9,51.3,7.7,19.3,7.5,11.0,2.9,2.4,33.2,57-65,.877,70-152,.461,12-44,.273,,,,
2722,,,,,Top 100 quality games:,Top 100:,4,56.5,3.8,118.9,19.7,59.5,59.5,7.0,15.1,11.6,10.6,0.0,1.0,18.9,4-7,.571,16-29,.552,4-8,.500,,,,
2723,,,,,Top 50 quality games:,Top 50:,1,75.0,-2.9,63.4,9.6,25.0,25.0,0.0,13.8,31.6,21.3,0.0,0.0,0.0,0-0,.000,1-3,.333,0-1,.000,,,,
2724,2019,Sr,6-9,Deion Bute,Central Connecticut,NEC,28,53.2,1.3,106.9,20.0,59.6,62.7,13.1,17.5,5.3,24.6,7.9,0.8,49.7,54-75,.720,90-151,.596,0-0,.000,,,,
2725,,,,,Conf. games:,Conf. games:,17,54.0,1.1,104.2,20.4,57.6,61.1,12.6,20.9,5.7,24.8,8.6,1.0,45.5,33-45,.733,57-99,.576,0-0,.000,,,,
2726,,,,,Top 100 quality games:,Top 100:,5,47.5,0.1,89.0,16.1,52.6,51.5,8.3,11.1,6.9,27.0,7.8,1.2,26.3,2-5,.400,10-19,.526,0-0,.000,,,,
2727,,,,,Top 50 quality games:,Top 50:,1,70.0,-0.3,87.7,10.6,40.0,36.5,8.4,14.8,12.8,0.0,14.3,0.0,20.0,0-1,.000,2-5,.400,0-0,.000,,,,
2728,2019,Fr,6-2,Ian Krishnan,Central Connecticut,NEC,29,84.2,0.9,100.6,17.4,45.9,48.6,0.9,5.7,6.8,10.3,0.1,1.4,14.0,39-46,.848,52-133,.391,66-196,.337,,,,
2729,,,,,Conf. games:,Conf. games:,18,84.5,0.2,97.8,16.4,44.7,46.5,0.7,5.6,5.8,8.4,0.2,0.9,8.3,15-17,.882,29-79,.367,42-127,.331,,,,
2730,,,,,Top 100 quality games:,Top 100:,5,83.0,0.4,87.1,18.6,41.7,44.0,1.4,6.3,5.3,15.4,0.0,2.5,11.1,5-6,.833,6-23,.261,11-31,.355,,,,
2731,,,,,Top 50 quality games:,Top 50:,1,67.5,-0.5,77.2,16.8,33.3,33.3,4.4,0.0,13.4,0.0,0.0,0.0,0.0,0-0,.000,0-1,.000,2-8,.250,,,,
2732,2019,Fr,6-7,Karrington Wallace,Central Connecticut,NEC,27,30.2,-0.1,96.9,13.4,48.6,50.6,7.7,14.6,4.5,20.4,4.3,1.1,24.6,11-17,.647,32-66,.485,1-3,.333,,,,
2733,,,,,Conf. games:,Conf. games:,16,27.8,-0.4,94.9,10.7,45.9,46.1,6.5,16.3,2.9,15.8,3.2,1.4,5.4,1-2,.500,17-37,.459,0-0,.000,,,,
2734,,,,,Top 100 quality games:,Top 100:,5,36.0,1.9,123.0,17.9,56.3,62.7,12.5,12.8,6.4,13.8,3.5,0.8,62.5,8-10,.800,9-16,.563,0-0,.000,,,,
2735,,,,,Top 50 quality games:,Top 50:,1,37.5,-0.2,70.5,26.1,66.7,63.3,7.8,27.6,30.8,46.8,0.0,0.0,66.7,1-2,.500,2-3,.667,0-0,.000,,,,
2736,2019,So,6-6,Kashaun Hicks,Central Connecticut,NEC,27,37.9,-0.4,83.8,18.1,42.7,46.6,5.4,12.1,6.7,25.6,1.7,1.5,31.8,24-35,.686,29-63,.460,12-47,.255,,,,
2737,,,,,Conf. games:,Conf. games:,18,39.6,-0.4,84.5,19.3,40.6,44.2,6.9,11.5,8.5,22.5,1.4,1.6,27.5,15-22,.682,22-50,.440,7-30,.233,,,,
2738,,,,,Top 100 quality games:,Top 100:,4,34.5,-0.9,71.2,16.8,50.0,48.8,3.3,15.3,3.0,35.7,1.8,0.9,38.5,2-5,.400,2-4,.500,3-9,.333,,,,
2739,,,,,Top 50 quality games:,Top 50:,1,42.5,-2.3,41.6,25.6,30.0,30.0,0.0,24.3,20.2,42.0,0.0,3.5,0.0,0-0,.000,0-1,.000,1-4,.250,,,,
2740,2019,Jr,6-2,Tyson Batiste,Central Connecticut,NEC,29,63.5,-0.7,92.9,11.2,51.6,49.9,2.4,8.2,19.1,28.6,1.4,1.5,29.5,10-28,.357,40-79,.506,6-16,.375,,,,
2741,,,,,Conf. games:,Conf. games:,18,64.0,-1.0,92.8,10.3,50.9,49.9,3.3,10.0,18.1,29.6,1.4,1.2,24.1,5-13,.385,23-46,.500,3-8,.375,,,,
2742,,,,,Top 100 quality games:,Top 100:,5,61.0,-1.4,73.8,13.8,34.1,34.9,0.9,3.2,17.9,24.6,2.0,3.4,22.7,2-5,.400,6-18,.333,1-4,.250,,,,
2743,,,,,Top 50 quality games:,Top 50:,1,52.5,-5.9,6.4,13.0,0.0,0.0,5.6,0.0,0.0,44.8,0.0,5.7,0.0,0-0,.000,0-2,.000,0-1,.000,,,,
2744,2019,Fr,6-2,Thai Segwai,Central Connecticut,NEC,23,24.2,-0.8,73.1,17.4,42.0,48.4,2.4,9.3,16.4,40.4,0.0,1.0,61.4,18-27,.667,14-35,.400,3-9,.333,,,,
2745,,,,,Conf. games:,Conf. games:,13,23.2,-0.3,87.9,17.2,57.1,58.2,2.6,8.1,19.0,35.3,0.0,0.7,60.7,10-17,.588,13-23,.565,2-5,.400,,,,
2746,,,,,Top 100 quality games:,Top 100:,4,23.5,-1.6,43.1,22.0,12.5,30.3,2.4,11.2,11.8,51.7,0.0,2.5,50.0,4-4,1.000,1-6,.167,0-2,.000,,,,
2747,,,,,Top 50 quality games:,Top 50:,1,32.5,-2.6,30.4,40.0,0.0,25.3,9.0,10.6,22.0,58.6,0.0,0.0,66.7,2-2,1.000,0-2,.000,0-1,.000,,,,
2748,2019,Fr,6-6,Mike Underwood,Central Connecticut,NEC,17,14.3,-0.9,72.9,11.5,34.3,35.7,0.7,4.8,4.4,17.7,0.8,1.0,8.6,2-3,.667,3-12,.250,6-23,.261,,,,
2749,,,,,Conf. games:,Conf. games:,15,21.5,-0.9,73.6,12.1,35.3,36.7,0.7,5.1,4.8,18.1,0.0,1.1,8.8,2-3,.667,3-12,.250,6-22,.273,,,,
2750,,,,,Top 100 quality games:,Top 100:,1,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,2019,Jr,6-6,Donyell Marshall Jr.,Central Connecticut,NEC,8,1.1,-0.5,0.0,7.4,0.0,0.0,0.0,0.0,0.0,59.4,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
2753,,,,,Conf. games:,Conf. games:,5,0.8,-0.4,0.0,9.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
2754,,,,,Top 100 quality games:,Top 100:,3,3.5,-0.7,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
2755,,,,,Top 50 quality games:,Top 50:,1,5.0,-0.6,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-1,.000,,,,
2756,2019,Jr,6-11,Harrison Kay,Central Connecticut,NEC,11,3.2,-0.3,70.4,9.4,40.0,40.0,6.0,12.2,0.0,32.2,6.7,0.0,0.0,0-0,.000,2-5,.400,0-0,.000,,,,
2757,,,,,Conf. games:,Conf. games:,7,2.1,-0.3,64.2,9.4,50.0,50.0,0.0,22.9,0.0,40.2,17.4,0.0,0.0,0-0,.000,1-2,.500,0-0,.000,,,,
2758,,,,,Top 100 quality games:,Top 100:,4,11.5,-0.4,72.4,9.5,33.3,33.3,9.8,5.7,0.0,27.1,0.0,0.0,0.0,0-0,.000,1-3,.333,0-0,.000,,,,
2759,,,,,Top 50 quality games:,Top 50:,1,5.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
2760,2019,Jr,6-6,Chris Williams,Central Connecticut,NEC,10,4.1,0.2,96.9,21.2,47.2,50.1,0.0,9.6,14.0,16.9,0.0,2.4,11.1,2-2,1.000,4-13,.308,3-5,.600,,,,
2761,,,,,Conf. games:,Conf. games:,6,5.2,-0.0,87.4,22.1,46.7,46.7,0.0,9.0,18.4,20.3,0.0,3.0,0.0,0-0,.000,4-12,.333,2-3,.667,,,,
2762,,,,,Top 100 quality games:,Top 100:,3,4.5,0.6,138.3,20.3,50.0,63.3,0.0,14.6,0.0,0.0,0.0,0.0,66.7,2-2,1.000,0-1,.000,1-2,.500,,,,
2763,,,,,Top 50 quality games:,Top 50:,1,10.0,1.8,161.7,34.7,75.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2-2,1.000,0-0,.000,1-2,.500,,,,
2764,2019,Fr,6-2,Will Ellis,Central Connecticut,NEC,9,2.9,-0.3,62.1,20.7,30.0,30.6,6.7,13.6,5.5,24.5,0.0,3.4,30.0,1-3,.333,0-7,.000,2-3,.667,,,,
2765,,,,,Conf. games:,Conf. games:,5,0.7,-0.3,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-2,.000,0-0,.000,,,,
2766,,,,,Top 100 quality games:,Top 100:,3,11.5,-0.9,47.1,22.3,21.4,23.7,0.0,11.4,8.4,23.1,0.0,5.2,42.9,1-3,.333,0-5,.000,1-2,.500,,,,
2767,,,,,Top 50 quality games:,Top 50:,1,15.0,-1.8,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-2,.000,0-0,.000,,,,
2768,2019,Sr,6-0,Shawn Roundtree,Central Michigan,MAC,31,83.4,3.7,114.9,21.1,56.4,61.3,0.9,7.2,15.5,17.4,0.2,1.3,49.7,132-170,.776,79-173,.457,76-169,.450,,,,
2769,,,,,Conf. games:,Conf. games:,17,82.6,4.1,114.8,21.5,56.3,62.1,0.9,7.7,15.9,18.8,0.3,0.9,46.1,74-88,.841,46-106,.434,41-85,.482,,,,
2770,,,,,Top 100 quality games:,Top 100:,8,90.9,4.4,112.3,21.9,55.7,58.4,1.3,7.2,20.2,15.2,0.0,0.7,29.2,23-31,.742,26-62,.419,22-44,.500,,,,
2771,,,,,Top 50 quality games:,Top 50:,4,90.0,3.7,102.3,24.2,51.8,55.0,2.0,8.3,16.6,18.1,0.0,1.1,35.7,14-20,.700,11-33,.333,12-23,.522,,,,
2772,2019,Sr,6-2,Larry Austin Jr.,Central Michigan,MAC,32,85.7,3.6,103.1,30.1,48.9,50.7,7.2,12.7,35.9,18.9,0.4,3.4,50.3,123-222,.554,208-423,.492,5-18,.278,,,,
2773,,,,,Conf. games:,Conf. games:,18,87.8,3.1,98.1,29.4,44.9,46.6,7.6,12.5,36.2,19.6,0.3,3.2,47.7,60-116,.517,106-234,.453,2-9,.222,,,,
2774,,,,,Top 100 quality games:,Top 100:,8,82.8,3.0,93.9,31.4,49.1,48.8,7.3,10.4,33.1,20.7,0.4,3.1,43.4,22-49,.449,51-108,.472,3-5,.600,,,,
2775,,,,,Top 50 quality games:,Top 50:,4,79.4,2.3,87.9,31.8,44.8,44.9,8.2,10.3,31.0,20.9,0.0,3.4,36.2,9-21,.429,26-58,.448,0-0,.000,,,,
2776,2019,Jr,6-7,David DiLeo,Central Michigan,MAC,32,86.3,3.1,124.0,13.1,56.6,59.7,3.1,11.5,4.5,8.2,1.0,1.1,32.1,66-87,.759,32-69,.464,81-202,.401,,,,
2777,,,,,Conf. games:,Conf. games:,18,88.9,4.1,130.0,12.7,59.8,62.9,3.1,11.6,3.9,7.3,1.2,1.5,31.4,38-48,.792,21-41,.512,47-112,.420,,,,
2778,,,,,Top 100 quality games:,Top 100:,8,90.3,2.3,109.9,13.4,50.0,52.4,3.0,10.3,5.5,8.4,0.0,0.9,23.3,12-17,.706,8-17,.471,19-56,.339,,,,
2779,,,,,Top 50 quality games:,Top 50:,4,88.8,1.4,100.1,13.6,44.9,45.2,4.0,8.4,7.5,8.2,0.0,0.7,10.3,2-4,.500,7-13,.538,7-26,.269,,,,
2780,2019,Jr,6-5,Kevin McKay,Central Michigan,MAC,32,78.6,2.1,109.0,17.8,51.1,55.4,9.9,15.9,7.3,18.0,2.8,2.7,37.9,75-100,.750,120-228,.526,10-36,.278,,,,
2781,,,,,Conf. games:,Conf. games:,18,78.2,1.6,102.6,16.9,48.1,53.8,9.7,16.9,4.7,21.1,2.2,2.0,43.5,44-57,.772,54-113,.478,6-18,.333,,,,
2782,,,,,Top 100 quality games:,Top 100:,8,76.6,0.7,93.1,16.4,40.2,45.0,7.9,14.0,7.3,17.5,1.2,2.9,31.1,14-19,.737,23-55,.418,1-6,.167,,,,
2783,,,,,Top 50 quality games:,Top 50:,4,72.5,1.9,104.9,15.2,44.4,52.0,4.9,16.0,9.3,14.9,1.8,2.8,44.4,10-12,.833,12-26,.462,0-1,.000,,,,
2784,2019,Jr,6-6,Rob Montgomery,Central Michigan,MAC,29,63.0,1.4,101.0,19.5,47.2,49.6,5.3,15.7,4.8,12.0,2.9,1.7,38.5,62-104,.596,96-201,.478,21-69,.304,,,,
2785,,,,,Conf. games:,Conf. games:,15,62.7,2.5,106.1,20.7,48.2,50.6,6.0,16.5,6.5,9.9,2.1,1.6,28.2,31-48,.646,61-123,.496,14-47,.298,,,,
2786,,,,,Top 100 quality games:,Top 100:,7,58.8,1.0,94.5,18.4,46.1,48.1,3.6,20.5,3.1,12.5,1.6,1.4,21.9,9-14,.643,22-42,.524,5-22,.227,,,,
2787,,,,,Top 50 quality games:,Top 50:,4,68.1,1.5,99.9,16.3,50.0,51.6,2.6,15.0,1.7,11.8,1.9,1.5,23.5,5-8,.625,11-21,.524,4-13,.308,,,,
2788,2019,Jr,6-1,Dallas Morgan,Central Michigan,MAC,32,42.1,1.2,105.6,20.7,51.1,53.0,2.5,10.9,7.7,13.0,0.2,2.0,17.4,27-38,.711,29-63,.460,55-155,.355,,,,
2789,,,,,Conf. games:,Conf. games:,18,46.8,1.4,103.8,21.0,53.9,54.9,1.2,11.0,5.9,15.4,0.0,2.3,11.4,11-16,.688,20-41,.488,37-99,.374,,,,
2790,,,,,Top 100 quality games:,Top 100:,8,49.7,0.6,91.2,19.5,45.2,45.3,3.0,11.1,8.3,13.9,0.0,2.4,3.2,1-2,.500,7-20,.350,14-42,.333,,,,
2791,,,,,Top 50 quality games:,Top 50:,4,45.6,0.4,83.1,22.6,45.3,44.6,3.9,13.4,5.4,19.1,0.0,2.9,3.1,0-1,.000,4-10,.400,7-22,.318,,,,
2792,2019,So,6-4,Matt Beachler,Central Michigan,MAC,32,26.3,0.5,108.5,14.9,51.1,53.3,2.2,11.5,5.6,11.8,0.9,1.1,24.2,16-23,.696,11-15,.733,25-80,.313,,,,
2793,,,,,Conf. games:,Conf. games:,18,26.3,0.5,104.9,15.0,52.0,53.9,3.3,12.7,4.6,15.3,1.0,1.4,28.6,9-14,.643,9-12,.750,11-37,.297,,,,
2794,,,,,Top 100 quality games:,Top 100:,8,22.8,0.3,96.7,16.1,36.8,45.4,2.6,12.1,4.6,9.2,1.4,0.7,57.9,8-11,.727,1-3,.333,4-16,.250,,,,
2795,,,,,Top 50 quality games:,Top 50:,4,22.5,-0.3,78.4,12.9,18.8,31.8,2.6,12.1,8.8,11.4,0.0,1.5,37.5,3-3,1.000,0-1,.000,1-7,.143,,,,
2796,2019,So,6-7,Romelo Burrell,Central Michigan,MAC,32,25.6,0.1,98.7,13.7,40.0,48.0,9.2,12.8,3.9,19.2,3.5,0.3,72.7,27-40,.675,19-41,.463,2-14,.143,,,,
2797,,,,,Conf. games:,Conf. games:,18,23.2,0.3,104.0,13.1,37.5,48.9,9.4,13.1,2.9,15.0,5.2,0.3,112.5,18-27,.667,9-19,.474,0-5,.000,,,,
2798,,,,,Top 100 quality games:,Top 100:,8,22.5,-0.2,85.1,12.5,44.4,50.8,6.7,16.9,2.3,29.8,5.6,0.0,88.9,5-8,.625,4-7,.571,0-2,.000,,,,
2799,,,,,Top 50 quality games:,Top 50:,4,25.0,1.8,150.2,9.0,60.0,70.1,4.7,16.3,0.0,0.0,5.1,0.0,120.0,5-6,.833,3-4,.750,0-1,.000,,,,
2800,2019,Jr,6-6,Corey Redman,Central Michigan,MAC,4,1.0,0.2,96.5,28.5,42.9,42.9,24.5,16.4,0.0,14.8,0.0,4.2,0.0,0-0,.000,0-1,.000,2-6,.333,,,,
2801,,,,,Top 100 quality games:,Top 100:,2,0.9,-0.4,20.3,47.7,0.0,0.0,32.2,0.0,0.0,37.6,0.0,0.0,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
2802,,,,,Top 50 quality games:,Top 50:,2,1.9,-0.4,19.6,46.6,0.0,0.0,31.4,0.0,0.0,37.7,0.0,0.0,0.0,0-0,.000,0-1,.000,0-1,.000,,,,
2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,2019,So,6-11,Innocent Nwoko,Central Michigan,MAC,18,5.8,0.1,96.5,15.8,44.4,48.0,11.2,15.5,0.0,18.2,7.8,0.7,33.3,4-6,.667,8-17,.471,0-1,.000,,,,
2805,,,,,Conf. games:,Conf. games:,9,3.3,-0.2,67.5,18.2,11.1,20.1,13.3,13.9,0.0,0.0,4.1,0.0,22.2,2-2,1.000,1-8,.125,0-1,.000,,,,
2806,,,,,Top 100 quality games:,Top 100:,4,4.1,-0.3,57.8,16.3,20.0,20.0,7.4,17.0,0.0,0.0,15.4,0.0,0.0,0-0,.000,1-5,.200,0-0,.000,,,,
2807,,,,,Top 50 quality games:,Top 50:,3,5.6,-0.2,74.4,13.1,33.3,33.3,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0-0,.000,1-3,.333,0-0,.000,,,,
2808,2019,Jr,5-11,Matty Smith,Central Michigan,MAC,4,1.4,-0.1,83.0,24.1,50.0,50.5,0.0,11.9,39.4,38.0,0.0,6.1,50.0,1-2,.500,2-4,.500,0-0,.000,,,,
2809,,,,,Top 100 quality games:,Top 100:,1,0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
2810,,,,,Top 50 quality games:,Top 50:,1,0.3,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,
2811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,2019,Jr,6-4,Christian Keeling,Charleston Southern,BSth,30,82.1,3.6,111.8,26.6,56.2,59.9,3.0,21.1,17.4,16.7,2.5,2.2,34.6,111-142,.782,118-222,.532,75-188,.399,,,,
2813,,,,,Conf. games:,Conf. games:,16,81.1,3.5,116.6,24.7,59.6,62.7,3.2,24.3,12.4,15.6,2.1,1.5,33.8,54-69,.783,51-87,.586,47-117,.402,,,,
2814,,,,,Top 100 quality games:,Top 100:,4,86.9,4.0,97.8,28.9,51.6,54.0,3.7,17.2,23.5,21.4,2.8,2.5,23.0,10-14,.714,18-42,.429,9-19,.474,,,,
2815,,,,,Top 50 quality games:,Top 50:,4,86.9,4.0,97.8,28.9,51.6,54.0,3.7,17.2,23.5,21.4,2.8,2.5,23.0,10-14,.714,18-42,.429,9-19,.474,,,,
2816,2019,So,6-4,Phlandrous Fleming Jr.,Charleston Southern,BSth,21,49.8,1.6,102.2,24.4,47.1,51.0,6.2,15.8,19.4,17.4,2.6,2.4,24.1,44-55,.800,58-119,.487,33-109,.303,,,,
2817,,,,,Conf. games:,Conf. games:,16,67.8,1.7,102.3,26.1,46.4,50.6,7.1,16.2,19.3,18.2,2.8,2.2,27.4,36-46,.783,39-86,.453,26-82,.317,,,,
2818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,,,,,2018,Fr,6-4,Phlandrous Fleming Jr.,Charleston Southern,BSth,27,68.9,1.6,106.5,20.4,50.2,53.3,5.6,11.2,11.6,15.3,1.8,2.4,27.5,49-67,.731,58-129,.450,43-115,.374
